Region_Code,year,Neighborhood_Name,Municipality_Name,Region_Type,Boundary_Change_Code,Dist_Primary_School,Count_Primary_1km,Count_Primary_3km,Count_Primary_5km,Dist_Secondary_Total,Count_Secondary_3km,Count_Secondary_5km,Count_Secondary_10km,Dist_Secondary_VMBO,Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 3  km (aantal),Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 5  km (aantal),Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 10  km (aantal),Dist_Secondary_HAVO_VWO,Count_Secondary_HAVO_VWO_3km,Count_Secondary_HAVO_VWO_5km,Count_Secondary_HAVO_VWO_10km,Dist_Public_Green_Total,Dist_Park,Dist_Day_Recreation,Dist_Forest,Dist_Nature_Area_Total,Dist_Nature_Area_Dry,Dist_Nature_Area_Wet,Dist_SemiPublic_Green,Dist_Sports_Field,Dist_Allotment_Garden,Dist_Holiday_Recreation,Dist_Cemetery,Dist_Recreation_Water,Dist_GP_Surgery,Count_GP_1km,Count_GP_3km,Count_GP_5km,Dist_GP_Out_Of_Hours,Dist_Pharmacy,Dist_Hospital_Incl_Outpatient,Count_Hospital_Incl_5km,Count_Hospital_Incl_10km,Count_Hospital_Incl_20km,Dist_Hospital_Excl_Outpatient,Count_Hospital_Excl_5km,Count_Hospital_Excl_10km,Count_Hospital_Excl_20km,Dist_Clinic_Infant_Child,Dist_Physiotherapist,Count_Physio_1km,Count_Physio_3km,Count_Physio_5km,Dist_Supermarket,Count_Supermarket_1km,Count_Supermarket_3km,Count_Supermarket_5km,Dist_Other_Grocery,Count_Other_Grocery_1km,Count_Other_Grocery_3km,Count_Other_Grocery_5km,Dist_Department_Store,Count_DeptStore_5km,Count_DeptStore_10km,Count_DeptStore_20km,Dist_Highway_Entrance,Dist_Train_Station_Total,Dist_Major_Transfer_Station
BU19040214,,Kanaalzone Noord Breukelen,Stichtse Vecht,Buurt     ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU19040215,,Breukelen Midden,Stichtse Vecht,Buurt     ,1,0.3,3.9,4.0,4.9,0.5,2.0,2.0,5.0,0.6,1.0,1.0,4.0,0.7,1.0,1.0,2.0,,,,,,,,,,,,,,0.7,0.8,1.0,1.2,11.1,0.7,11.1,0.0,0.0,12.2,11.1,0.0,0.0,8.0,,,,,,0.5,2.2,3.0,3.2,0.4,11.4,16.0,18.4,0.7,1.0,3.1,28.1,1.4,1.8,13.8
BU19040216,,Rode Dorp,Stichtse Vecht,Buurt     ,1,1.9,0.0,4.0,5.0,1.4,2.0,2.0,5.0,1.4,1.0,1.0,4.0,2.6,1.0,1.0,2.0,,,,,,,,,,,,,,2.7,0.0,1.0,1.0,10.0,2.7,10.0,0.0,0.4,12.3,10.0,0.0,0.4,7.3,,,,,,1.6,0.0,2.7,3.0,1.6,0.0,14.0,16.0,1.6,1.0,3.0,28.0,0.7,0.2,14.1
BU19040301,,Polder Holland,Stichtse Vecht,Buurt     ,1,0.9,1.4,3.8,6.8,5.2,0.0,0.8,2.6,5.8,0.0,0.4,1.6,5.2,0.0,0.4,1.0,,,,,,,,,,,,,,1.1,0.5,1.0,1.5,13.1,1.2,13.1,0.0,0.0,10.7,13.1,0.0,0.0,5.7,,,,,,1.0,0.5,1.2,3.4,0.9,2.8,5.2,12.8,5.6,0.4,3.2,30.7,0.3,7.0,12.9
BU19040302,,Polder Garsten,Stichtse Vecht,Buurt     ,1,2.7,0.0,1.2,4.7,8.0,0.0,0.0,3.7,8.2,0.0,0.0,2.8,8.1,0.0,0.0,1.6,,,,,,,,,,,,,,3.2,0.0,0.4,1.5,13.6,4.1,9.7,0.0,0.7,9.2,13.6,0.0,0.0,5.4,,,,,,3.3,0.0,0.6,2.3,0.9,0.6,1.8,5.0,8.3,0.0,2.2,23.7,2.5,9.0,9.5
BU19040303,,Polder Oud Over,Stichtse Vecht,Buurt     ,1,1.9,0.3,3.2,4.8,6.1,0.0,0.1,2.4,6.7,0.0,0.0,1.4,6.1,0.0,0.1,1.1,,,,,,,,,,,,,,1.9,0.1,1.0,1.2,14.1,2.0,13.8,0.0,0.0,10.3,14.1,0.0,0.0,5.0,,,,,,1.5,0.1,1.9,2.2,1.5,0.6,5.0,6.3,6.5,0.0,2.2,27.1,1.2,7.9,12.9
BU19040304,,Kanaalzone Loenen aan de Vecht,Stichtse Vecht,Buurt     ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU19040305,,Kanaalzone sector Vreeland,Stichtse Vecht,Buurt     ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU19040306,,Mijnden,Stichtse Vecht,Buurt     ,1,1.0,1.4,3.0,9.0,4.4,0.0,1.4,2.1,5.0,0.0,0.4,1.1,4.4,0.0,1.0,1.0,,,,,,,,,,,,,,1.0,0.4,1.0,2.0,14.0,1.2,13.7,0.0,0.0,11.0,14.0,0.0,0.0,6.0,,,,,,0.9,0.7,1.0,5.9,0.6,4.7,5.0,22.2,4.7,1.0,4.0,30.0,0.2,6.1,13.2
BU19040307,,Hoefijzer,Stichtse Vecht,Buurt     ,1,0.6,1.6,3.0,5.0,5.7,0.0,0.0,3.0,6.3,0.0,0.0,2.0,5.7,0.0,0.0,1.0,,,,,,,,,,,,,,0.8,0.9,1.0,1.0,13.7,0.9,13.7,0.0,0.0,10.0,13.7,0.0,0.0,5.0,,,,,,0.7,0.9,1.0,2.1,0.7,3.7,5.0,6.3,6.1,0.0,1.4,29.3,1.0,7.5,13.8
