Model,Feature Set,Seed,Threshold,Balanced Accuracy,Precision,Recall,F1 (positive),Macro-F1,PR-AUC,AUC-ROC,TP,TN,FP,FN
LSTM,T+O+W+S,7,0.5671535134315491,0.7320411562432839,0.7843731072077529,0.6888297872340425,0.7335032568677429,0.7282470655842983,0.8216754248989726,0.7925246480765098,1295,1228,356,585
LSTM,T+O+W+S,13,0.4595073461532593,0.7368176445304104,0.7502548419979612,0.7829787234042553,0.7662675689744924,0.7376379970601561,0.8263212528726509,0.7989596765527616,1472,1094,490,408
LSTM,T+O+W+S,21,0.5597778558731079,0.7114294541156243,0.810611643330877,0.5851063829787234,0.6796416434970651,0.6993439862026101,0.8146669586747501,0.7838414060820975,1100,1327,257,780
LSTM,T+O+W+S,37,0.5576311349868774,0.7382387706855792,0.7631862217438106,0.7542553191489362,0.7586944890315677,0.7379679341709562,0.8164071338262311,0.7938765984311197,1418,1144,440,462
LSTM,T+O+W+S,55,0.5951682925224304,0.7323541263700839,0.7900928792569659,0.6787234042553192,0.7301859799713877,0.727749558584587,0.8205466031329356,0.7891521598968407,1276,1245,339,604
LSTM,T+O+W+S,77,0.6020018458366394,0.7414692134107028,0.7829861111111112,0.7196808510638298,0.75,0.7391566265060241,0.8252588429874108,0.7978035004298303,1353,1209,375,527
LSTM,T+O+W+S,99,0.5760444402694702,0.7385611433483774,0.7800925925925926,0.7170212765957447,0.7472283813747228,0.7362647930969999,0.8296548791332161,0.7984109714162906,1348,1204,380,532
LSTM,T+O+W+S,123,0.6032705307006836,0.7134577154523963,0.8108108108108109,0.5904255319148937,0.6832871652816251,0.7017957979167028,0.8192052838946662,0.7902196835375027,1110,1325,259,770
GRU,T+O+W+S,42,0.5311286449432373,0.7411629593810445,0.7963302752293578,0.6925531914893617,0.7408250355618776,0.7369522189236285,0.8356246777983477,0.8078177049752848,1302,1251,333,578
GRU,T+O+W+S,1,0.5727881789207458,0.7432677842252311,0.8104993597951344,0.6734042553191489,0.7356188262638002,0.7372873247784864,0.831082976210411,0.8070670132172791,1266,1288,296,614
GRU,T+O+W+S,7,0.48671168088912964,0.7390944014614227,0.7520366598778004,0.7856382978723404,0.7684703433922997,0.7399420458855144,0.8280430926954714,0.8028254620674834,1477,1097,487,403
GRU,T+O+W+S,13,0.5087592601776123,0.7378801310982162,0.7788683602771362,0.7175531914893617,0.7469545957918051,0.7356606513337796,0.8308590527496234,0.8026904685149366,1349,1201,383,531
GRU,T+O+W+S,21,0.6166499257087708,0.7365127337201806,0.7862275449101797,0.698404255319149,0.7397183098591549,0.7330918369899682,0.8192097874609342,0.7959505292284548,1313,1227,357,567
GRU,T+O+W+S,37,0.49141308665275574,0.7325220287986245,0.7583603020496225,0.747872340425532,0.7530798071772897,0.7322067789800036,0.8295061189202694,0.7996789705566302,1406,1136,448,474
GRU,T+O+W+S,55,0.4911165237426758,0.7361567805716742,0.7445328031809145,0.7968085106382978,0.7697841726618705,0.7373295039857442,0.8384508125065636,0.8124442563937245,1498,1070,514,382
GRU,T+O+W+S,77,0.6000123023986816,0.7407210401891253,0.7829367382472432,0.7175531914893617,0.7488204274215932,0.7383199881468868,0.8249091985146506,0.8006737924457339,1349,1210,374,531
GRU,T+O+W+S,99,0.57473224401474,0.7428715344938749,0.7731788079470199,0.7452127659574468,0.7589382448537378,0.7419536712525796,0.8313457825421048,0.807342709004943,1401,1173,411,479
GRU,T+O+W+S,123,0.5099908113479614,0.7446714485278315,0.7664893617021277,0.7664893617021277,0.7664893617021277,0.7446714485278315,0.8334636784629159,0.8107880668385988,1441,1145,439,439
