"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Verkeer en vervoer/Afstand tot oprit hoofdverkeersweg (km)";"Verkeer en vervoer/Treinstations/Afstand tot treinstations totaal (km)";"Verkeer en vervoer/Treinstations/Afstand tot belangrijk overstapstation (km)"
"Buitenpost";"Achtkarspelen                           ";"Buurt     ";"BU00590000";"1";0,9;1,5;27
"Twijzel";"Achtkarspelen                           ";"Buurt     ";"BU00590001";"1";0,2;4,4;22,5
"Kootstertille";"Achtkarspelen                           ";"Buurt     ";"BU00590002";"1";0,8;7,6;23,5
"Twijzelerheide";"Achtkarspelen                           ";"Buurt     ";"BU00590003";"1";3,1;1,6;20,5
"Gerkesklooster";"Achtkarspelen                           ";"Buurt     ";"BU00590004";"1";3,1;6,1;27,2
"Verspreide huizen Buitenpost";"Achtkarspelen                           ";"Buurt     ";"BU00590005";"1";0,7;2,5;27
"Verspreide huizen Twijzel";"Achtkarspelen                           ";"Buurt     ";"BU00590006";"1";1,4;4,6;23,4
"Verspreide huizen Kootstertille";"Achtkarspelen                           ";"Buurt     ";"BU00590007";"1";0,7;6,2;22,1
"Verspreide huizen Twijzelerheide";"Achtkarspelen                           ";"Buurt     ";"BU00590008";"1";2,1;2,9;20,6
"Verspreide huizen Gerkesklooster";"Achtkarspelen                           ";"Buurt     ";"BU00590009";"1";3,1;6,1;28,3
"Wijk 01 Centrum";"Achtkarspelen                           ";"Wijk      ";"WK005901  ";"1";1,3;7,8;26,6
"Stroobos";"Achtkarspelen                           ";"Buurt     ";"BU00590100";"1";3,3;6,6;26,6
"Drogeham";"Achtkarspelen                           ";"Buurt     ";"BU00590102";"1";0,8;9,1;25
"Augustinusga";"Achtkarspelen                           ";"Buurt     ";"BU00590103";"1";1,3;6,3;28,7
"Verspreide huizen Stroobos";"Achtkarspelen                           ";"Buurt     ";"BU00590107";"1";3,6;7,6;27,7
"Verspreide huizen Drogeham";"Achtkarspelen                           ";"Buurt     ";"BU00590108";"1";1,2;9,3;25,6
"Verspreide huizen Augustinusga";"Achtkarspelen                           ";"Buurt     ";"BU00590109";"1";1,9;6,4;28,4
"Wijk 02 Zuid";"Achtkarspelen                           ";"Wijk      ";"WK005902  ";"1";1,4;10,8;29
"Surhuisterveen";"Achtkarspelen                           ";"Buurt     ";"BU00590200";"1";1,5;10,7;30
"Harkema";"Achtkarspelen                           ";"Buurt     ";"BU00590201";"1";1,2;10,7;27,5
"Surhuizum";"Achtkarspelen                           ";"Buurt     ";"BU00590202";"1";0,4;7,2;30,4
"Boelenslaan";"Achtkarspelen                           ";"Buurt     ";"BU00590203";"1";2,8;14,2;29
"Verspreide huizen Surhuisterveen";"Achtkarspelen                           ";"Buurt     ";"BU00590206";"1";1,5;11,8;30
"Verspreide huizen Harkema";"Achtkarspelen                           ";"Buurt     ";"BU00590207";"1";1,2;10,6;27,4
"Verspreide huizen Surhuizum";"Achtkarspelen                           ";"Buurt     ";"BU00590208";"1";1,4;8,7;29,5
"Verspreide huizen Boelenslaan";"Achtkarspelen                           ";"Buurt     ";"BU00590209";"1";1,5;14,2;28
"Alblasserdam";"Alblasserdam                            ";"Gemeente  ";"GM0482    ";"1";2,3;8,4;11,4
"Wijk 01 Centrum";"Alblasserdam                            ";"Wijk      ";"WK048201  ";"1";1,7;7,8;10,9
"Cortgene";"Alblasserdam                            ";"Buurt     ";"BU04820101";"1";2;8,2;11,4
"Redersbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820102";"1";1,7;7,9;11
"kerkbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820103";"1";1,8;7,8;10,7
"Polderbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820104";"1";1,1;7,2;10,3
"De Werven";"Alblasserdam                            ";"Buurt     ";"BU04820105";"1";1,6;7,8;11
"Wijk 02 Kinderdijk";"Alblasserdam                            ";"Wijk      ";"WK048202  ";"1";3,3;9,5;12,6
"Dijk";"Alblasserdam                            ";"Buurt     ";"BU04820201";"1";2,8;9,5;12,7
"Vogelbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820202";"1";3,5;9,7;12,8
"Waterland";"Alblasserdam                            ";"Buurt     ";"BU04820203";"1";3;9,2;12,2
