"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot bos (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km)";"Groenvoorzieningen/Afstand tot recreatief binnenwater (km)"
"Schoonrewoerd buitengebied";"Vijfheerenlanden                        ";"Wijk      ";"WK196131  ";"1";;;;;;;;;;;;;
"Schoonrewoerd buitengebied";"Vijfheerenlanden                        ";"Buurt     ";"BU19613101";"1";;;;;;;;;;;;;
"Zijderveld";"Vijfheerenlanden                        ";"Wijk      ";"WK196132  ";"1";;;;;;;;;;;;;
"Zijderveld kern";"Vijfheerenlanden                        ";"Buurt     ";"BU19613201";"1";;;;;;;;;;;;;
"Zijderveld buitengebied";"Vijfheerenlanden                        ";"Wijk      ";"WK196133  ";"1";;;;;;;;;;;;;
"Zijderveld buitengebied";"Vijfheerenlanden                        ";"Buurt     ";"BU19613301";"1";;;;;;;;;;;;;
"Hagestein";"Vijfheerenlanden                        ";"Wijk      ";"WK196134  ";"1";;;;;;;;;;;;;
"Hagestein kern";"Vijfheerenlanden                        ";"Buurt     ";"BU19613401";"1";;;;;;;;;;;;;
"Hagestein buitengebied";"Vijfheerenlanden                        ";"Wijk      ";"WK196135  ";"1";;;;;;;;;;;;;
"Hagestein buitengebied noord";"Vijfheerenlanden                        ";"Buurt     ";"BU19613501";"1";;;;;;;;;;;;;
"Hagestein buitengebied oost";"Vijfheerenlanden                        ";"Buurt     ";"BU19613502";"1";;;;;;;;;;;;;
"Hagestein buitengebied zuid";"Vijfheerenlanden                        ";"Buurt     ";"BU19613503";"1";;;;;;;;;;;;;
"Hoef en Haag";"Vijfheerenlanden                        ";"Wijk      ";"WK196136  ";"1";;;;;;;;;;;;;
"Het Dorpshart";"Vijfheerenlanden                        ";"Buurt     ";"BU19613601";"1";;;;;;;;;;;;;
"Het Lint";"Vijfheerenlanden                        ";"Buurt     ";"BU19613602";"1";;;;;;;;;;;;;
"De Erven";"Vijfheerenlanden                        ";"Buurt     ";"BU19613603";"1";;;;;;;;;;;;;
"Everdingen";"Vijfheerenlanden                        ";"Wijk      ";"WK196137  ";"1";;;;;;;;;;;;;
"Everdingen kern";"Vijfheerenlanden                        ";"Buurt     ";"BU19613701";"1";;;;;;;;;;;;;
"Everdingen buitengebied";"Vijfheerenlanden                        ";"Wijk      ";"WK196138  ";"1";;;;;;;;;;;;;
"Everdingen buitengebied";"Vijfheerenlanden                        ";"Buurt     ";"BU19613801";"1";;;;;;;;;;;;;
"Ossenwaard";"Vijfheerenlanden                        ";"Wijk      ";"WK196139  ";"1";;;;;;;;;;;;;
"Ossenwaard";"Vijfheerenlanden                        ";"Buurt     ";"BU19613901";"1";;;;;;;;;;;;;
"Vlaardingen";"Vlaardingen                             ";"Gemeente  ";"GM0622    ";"1";;;;;;;;;;;;;
"Centrum";"Vlaardingen                             ";"Wijk      ";"WK062201  ";"1";;;;;;;;;;;;;
"Indische Buurt";"Vlaardingen                             ";"Buurt     ";"BU06220101";"1";;;;;;;;;;;;;
"Vettenoordse Polder Oost";"Vlaardingen                             ";"Buurt     ";"BU06220102";"1";;;;;;;;;;;;;
"Centrum";"Vlaardingen                             ";"Buurt     ";"BU06220103";"1";;;;;;;;;;;;;
"Hoogstad";"Vlaardingen                             ";"Buurt     ";"BU06220104";"1";;;;;;;;;;;;;
"Westwijk";"Vlaardingen                             ";"Wijk      ";"WK062202  ";"1";;;;;;;;;;;;;
"Hoogkamer";"Vlaardingen                             ";"Buurt     ";"BU06220201";"1";;;;;;;;;;;;;
"Zuidbuurt";"Vlaardingen                             ";"Buurt     ";"BU06220202";"1";;;;;;;;;;;;;
"Wetering";"Vlaardingen                             ";"Buurt     ";"BU06220203";"1";;;;;;;;;;;;;
"Lage Weide";"Vlaardingen                             ";"Buurt     ";"BU06220204";"1";;;;;;;;;;;;;
"Buitengebied Zuidbuurt";"Vlaardingen                             ";"Buurt     ";"BU06220205";"1";;;;;;;;;;;;;
"Vettenoordse Polder";"Vlaardingen                             ";"Wijk      ";"WK062203  ";"1";;;;;;;;;;;;;
"De Vergulde Hand";"Vlaardingen                             ";"Buurt     ";"BU06220301";"1";;;;;;;;;;;;;
"Lickebaert";"Vlaardingen                             ";"Buurt     ";"BU06220302";"1";;;;;;;;;;;;;
"'t Scheur";"Vlaardingen                             ";"Buurt     ";"BU06220303";"1";;;;;;;;;;;;;
"Deltagebied";"Vlaardingen                             ";"Buurt     ";"BU06220304";"1";;;;;;;;;;;;;
"Park Zuidbuurt";"Vlaardingen                             ";"Buurt     ";"BU06220305";"1";;;;;;;;;;;;;
"Vettenoordse Polder West";"Vlaardingen                             ";"Buurt     ";"BU06220306";"1";;;;;;;;;;;;;
"Maasboulevard";"Vlaardingen                             ";"Buurt     ";"BU06220307";"1";;;;;;;;;;;;;
"Oostwijk";"Vlaardingen                             ";"Wijk      ";"WK062204  ";"1";;;;;;;;;;;;;
"Hofbuurt";"Vlaardingen                             ";"Buurt     ";"BU06220401";"1";;;;;;;;;;;;;
"Oostbuurt";"Vlaardingen                             ";"Buurt     ";"BU06220402";"1";;;;;;;;;;;;;
"Havengebied Oost";"Vlaardingen                             ";"Buurt     ";"BU06220403";"1";;;;;;;;;;;;;
"Vijfsluizen";"Vlaardingen                             ";"Buurt     ";"BU06220404";"1";;;;;;;;;;;;;
"Vlaardinger Ambacht";"Vlaardingen                             ";"Wijk      ";"WK062205  ";"1";;;;;;;;;;;;;
"Babberspolder Noord";"Vlaardingen                             ";"Buurt     ";"BU06220501";"1";;;;;;;;;;;;;
"Oranjebuurt";"Vlaardingen                             ";"Buurt     ";"BU06220502";"1";;;;;;;;;;;;;
"Babberspolder West";"Vlaardingen                             ";"Buurt     ";"BU06220503";"1";;;;;;;;;;;;;
"Babberspolder Oost";"Vlaardingen                             ";"Buurt     ";"BU06220504";"1";;;;;;;;;;;;;
"'t Nieuwe Lant";"Vlaardingen                             ";"Buurt     ";"BU06220505";"1";;;;;;;;;;;;;
"Holy Zuid";"Vlaardingen                             ";"Wijk      ";"WK062206  ";"1";;;;;;;;;;;;;
"Vaart Zuid";"Vlaardingen                             ";"Buurt     ";"BU06220601";"1";;;;;;;;;;;;;
"Statenbuurt";"Vlaardingen                             ";"Buurt     ";"BU06220602";"1";;;;;;;;;;;;;
"Loper Zuid";"Vlaardingen                             ";"Buurt     ";"BU06220603";"1";;;;;;;;;;;;;
"Vogelbuurt Noord";"Vlaardingen                             ";"Buurt     ";"BU06220604";"1";;;;;;;;;;;;;
"Sportpark Holy";"Vlaardingen                             ";"Buurt     ";"BU06220605";"1";;;;;;;;;;;;;
"Vogelbuurt Zuid";"Vlaardingen                             ";"Buurt     ";"BU06220606";"1";;;;;;;;;;;;;
"Holy Noord";"Vlaardingen                             ";"Wijk      ";"WK062207  ";"1";;;;;;;;;;;;;
"Drevenbuurt";"Vlaardingen                             ";"Buurt     ";"BU06220701";"1";;;;;;;;;;;;;
"Kruidenbuurt";"Vlaardingen                             ";"Buurt     ";"BU06220702";"1";;;;;;;;;;;;;
"Loper Noord";"Vlaardingen                             ";"Buurt     ";"BU06220703";"1";;;;;;;;;;;;;
"Hoofdstedenbuurt";"Vlaardingen                             ";"Buurt     ";"BU06220704";"1";;;;;;;;;;;;;
"Park Holy Noord";"Vlaardingen                             ";"Buurt     ";"BU06220705";"1";;;;;;;;;;;;;
"Hoevenbuurt";"Vlaardingen                             ";"Buurt     ";"BU06220706";"1";;;;;;;;;;;;;
"Holierhoekse Polder";"Vlaardingen                             ";"Buurt     ";"BU06220707";"1";;;;;;;;;;;;;
"Vaart Noord";"Vlaardingen                             ";"Buurt     ";"BU06220708";"1";;;;;;;;;;;;;
"Broekpolder";"Vlaardingen                             ";"Wijk      ";"WK062208  ";"1";;;;;;;;;;;;;
"Broekpolder gebied";"Vlaardingen                             ";"Buurt     ";"BU06220801";"1";;;;;;;;;;;;;
"Vlieland";"Vlieland                                ";"Gemeente  ";"GM0096    ";"1";;;;;;;;;;;;;
"Wijk 00";"Vlieland                                ";"Wijk      ";"WK009600  ";"1";;;;;;;;;;;;;
"Oost-Vlieland";"Vlieland                                ";"Buurt     ";"BU00960000";"1";;;;;;;;;;;;;
"Verspreide huizen Vlieland";"Vlieland                                ";"Buurt     ";"BU00960009";"1";;;;;;;;;;;;;
"Vlissingen";"Vlissingen                              ";"Gemeente  ";"GM0718    ";"1";;;;;;;;;;;;;
"Binnenstad";"Vlissingen                              ";"Wijk      ";"WK071801  ";"1";;;;;;;;;;;;;
"Oude Binnenstad";"Vlissingen                              ";"Buurt     ";"BU07180100";"1";;;;;;;;;;;;;
"Scheldestraat e.o.";"Vlissingen                              ";"Buurt     ";"BU07180101";"1";;;;;;;;;;;;;
"Stadhuisplein e.o.";"Vlissingen                              ";"Buurt     ";"BU07180102";"1";;;;;;;;;;;;;
"Scheldekwartier";"Vlissingen                              ";"Buurt     ";"BU07180103";"1";;;;;;;;;;;;;
"Middengebied";"Vlissingen                              ";"Wijk      ";"WK071802  ";"1";;;;;;;;;;;;;
"Vredehof Zuid";"Vlissingen                              ";"Buurt     ";"BU07180200";"1";;;;;;;;;;;;;
"Bonedijkestraat e.o.";"Vlissingen                              ";"Buurt     ";"BU07180201";"1";;;;;;;;;;;;;
"Bloemenlaan e.o. Oost";"Vlissingen                              ";"Buurt     ";"BU07180202";"1";;;;;;;;;;;;;
"Baskensburg Zuid";"Vlissingen                              ";"Buurt     ";"BU07180203";"1";;;;;;;;;;;;;
"Vredehof Noord";"Vlissingen                              ";"Buurt     ";"BU07180204";"1";;;;;;;;;;;;;
"Het Fort e.o.";"Vlissingen                              ";"Buurt     ";"BU07180205";"1";;;;;;;;;;;;;
"Hercules Segherslaan e.o.";"Vlissingen                              ";"Buurt     ";"BU07180206";"1";;;;;;;;;;;;;
"Baskensburg Noord";"Vlissingen                              ";"Buurt     ";"BU07180207";"1";;;;;;;;;;;;;
"Boulevards Bankert en Evertsen";"Vlissingen                              ";"Buurt     ";"BU07180208";"1";;;;;;;;;;;;;
"Bloemenlaan e.o. West";"Vlissingen                              ";"Buurt     ";"BU07180209";"1";;;;;;;;;;;;;
"Paauwenburg - Westduin";"Vlissingen                              ";"Wijk      ";"WK071803  ";"1";;;;;;;;;;;;;
"Paauwenburg Zuidoost";"Vlissingen                              ";"Buurt     ";"BU07180300";"1";;;;;;;;;;;;;
"Paauwenburg West";"Vlissingen                              ";"Buurt     ";"BU07180301";"1";;;;;;;;;;;;;
"Westduin";"Vlissingen                              ";"Buurt     ";"BU07180302";"1";;;;;;;;;;;;;
"Paauwenburg Noordoost";"Vlissingen                              ";"Buurt     ";"BU07180303";"1";;;;;;;;;;;;;
"Lammerenburg";"Vlissingen                              ";"Wijk      ";"WK071804  ";"1";;;;;;;;;;;;;
"Rosenburg";"Vlissingen                              ";"Buurt     ";"BU07180400";"1";;;;;;;;;;;;;
"Bossenburgh - Weyevliet";"Vlissingen                              ";"Buurt     ";"BU07180401";"1";;;;;;;;;;;;;
"Westerzicht";"Vlissingen                              ";"Buurt     ";"BU07180402";"1";;;;;;;;;;;;;
"Lammerenburg";"Vlissingen                              ";"Buurt     ";"BU07180403";"1";;;;;;;;;;;;;
"Papegaaienburg - Hofwijk";"Vlissingen                              ";"Buurt     ";"BU07180405";"1";;;;;;;;;;;;;
"West-Souburg";"Vlissingen                              ";"Buurt     ";"BU07180406";"1";;;;;;;;;;;;;
"Landelijk gebied Lammerenburg";"Vlissingen                              ";"Buurt     ";"BU07180407";"1";;;;;;;;;;;;;
"Vrijburg";"Vlissingen                              ";"Buurt     ";"BU07180408";"1";;;;;;;;;;;;;
"Oost-Souburg";"Vlissingen                              ";"Wijk      ";"WK071805  ";"1";;;;;;;;;;;;;
"Kern Oost-Souburg West";"Vlissingen                              ";"Buurt     ";"BU07180500";"1";;;;;;;;;;;;;
"Zeewijksingel";"Vlissingen                              ";"Buurt     ";"BU07180501";"1";;;;;;;;;;;;;
"Schoonenburg - Groot Abeele";"Vlissingen                              ";"Buurt     ";"BU07180502";"1";;;;;;;;;;;;;
"Molenweg e.o.";"Vlissingen                              ";"Buurt     ";"BU07180503";"1";;;;;;;;;;;;;
"Landelijk gebied Oost-Souburg";"Vlissingen                              ";"Buurt     ";"BU07180504";"1";;;;;;;;;;;;;
"Kern Oost-Souburg Oost";"Vlissingen                              ";"Buurt     ";"BU07180505";"1";;;;;;;;;;;;;
"Schoonenburg";"Vlissingen                              ";"Buurt     ";"BU07180506";"1";;;;;;;;;;;;;
"Souburg-Noord";"Vlissingen                              ";"Buurt     ";"BU07180507";"1";;;;;;;;;;;;;
"Ritthem e.o.";"Vlissingen                              ";"Wijk      ";"WK071806  ";"1";;;;;;;;;;;;;
"Ritthem";"Vlissingen                              ";"Buurt     ";"BU07180600";"1";;;;;;;;;;;;;
"Rammekens";"Vlissingen                              ";"Buurt     ";"BU07180601";"1";;;;;;;;;;;;;
"Welzinge";"Vlissingen                              ";"Buurt     ";"BU07180602";"1";;;;;;;;;;;;;
"Bedrijventerrein Oost-Souburg Oost";"Vlissingen                              ";"Buurt     ";"BU07180603";"1";;;;;;;;;;;;;
"Binnen- en Buitenhavens";"Vlissingen                              ";"Wijk      ";"WK071807  ";"1";;;;;;;;;;;;;
"Kennishaven";"Vlissingen                              ";"Buurt     ";"BU07180700";"1";;;;;;;;;;;;;
"Buitenhaven";"Vlissingen                              ";"Buurt     ";"BU07180701";"1";;;;;;;;;;;;;
"Bedrijventerrein Oost-Souburg West";"Vlissingen                              ";"Buurt     ";"BU07180702";"1";;;;;;;;;;;;;
"Sloegebied";"Vlissingen                              ";"Wijk      ";"WK071808  ";"1";;;;;;;;;;;;;
"Sloegebied";"Vlissingen                              ";"Buurt     ";"BU07180800";"1";;;;;;;;;;;;;
"Voerendaal";"Voerendaal                              ";"Gemeente  ";"GM0986    ";"1";;;;;;;;;;;;;
"Wijk 01 Voerendaal";"Voerendaal                              ";"Wijk      ";"WK098601  ";"1";;;;;;;;;;;;;
"Voerendaal";"Voerendaal                              ";"Buurt     ";"BU09860101";"1";;;;;;;;;;;;;
"Fromberg";"Voerendaal                              ";"Buurt     ";"BU09860102";"1";;;;;;;;;;;;;
"Wijk02 Kunrade";"Voerendaal                              ";"Wijk      ";"WK098602  ";"1";;;;;;;;;;;;;
"Kunrade";"Voerendaal                              ";"Buurt     ";"BU09860201";"1";;;;;;;;;;;;;
"Kunderberg";"Voerendaal                              ";"Buurt     ";"BU09860202";"1";;;;;;;;;;;;;
"Winthagen";"Voerendaal                              ";"Buurt     ";"BU09860203";"1";;;;;;;;;;;;;
"Wijk 03 Ubachsberg";"Voerendaal                              ";"Wijk      ";"WK098603  ";"1";;;;;;;;;;;;;
"Ubachsberg";"Voerendaal                              ";"Buurt     ";"BU09860301";"1";;;;;;;;;;;;;
"Colmont";"Voerendaal                              ";"Buurt     ";"BU09860302";"1";;;;;;;;;;;;;
"Mingersborg";"Voerendaal                              ";"Buurt     ";"BU09860303";"1";;;;;;;;;;;;;
"Wijk 04 Klimmen";"Voerendaal                              ";"Wijk      ";"WK098604  ";"1";;;;;;;;;;;;;
"Klimmen";"Voerendaal                              ";"Buurt     ";"BU09860401";"1";;;;;;;;;;;;;
"Craubeek";"Voerendaal                              ";"Buurt     ";"BU09860402";"1";;;;;;;;;;;;;
"Hellebeuk";"Voerendaal                              ";"Buurt     ";"BU09860403";"1";;;;;;;;;;;;;
"Retersbeek";"Voerendaal                              ";"Buurt     ";"BU09860404";"1";;;;;;;;;;;;;
"Termaar";"Voerendaal                              ";"Buurt     ";"BU09860405";"1";;;;;;;;;;;;;
"Weustenrade";"Voerendaal                              ";"Buurt     ";"BU09860406";"1";;;;;;;;;;;;;
"Wijk 05 Ransdaal";"Voerendaal                              ";"Wijk      ";"WK098605  ";"1";;;;;;;;;;;;;
"Ransdaal";"Voerendaal                              ";"Buurt     ";"BU09860501";"1";;;;;;;;;;;;;
"Wijk 09 Verspreide huizen Voerendaal";"Voerendaal                              ";"Wijk      ";"WK098609  ";"1";;;;;;;;;;;;;
"Verspreide huizen Voerendaal";"Voerendaal                              ";"Buurt     ";"BU09860900";"1";;;;;;;;;;;;;
"Voorne aan Zee";"Voorne aan Zee                          ";"Gemeente  ";"GM1992    ";"1";;;;;;;;;;;;;
"Hellevoet";"Voorne aan Zee                          ";"Wijk      ";"WK199200  ";"1";;;;;;;;;;;;;
"De Vesting";"Voorne aan Zee                          ";"Buurt     ";"BU19920000";"1";;;;;;;;;;;;;
"Glaciswijk";"Voorne aan Zee                          ";"Buurt     ";"BU19920001";"1";;;;;;;;;;;;;
"Groote Weergors";"Voorne aan Zee                          ";"Buurt     ";"BU19920003";"1";;;;;;;;;;;;;
"Marinebuurt";"Voorne aan Zee                          ";"Buurt     ";"BU19920004";"1";;;;;;;;;;;;;
"Dichters- en Schrijversbuurt";"Voorne aan Zee                          ";"Buurt     ";"BU19920005";"1";;;;;;;;;;;;;
"Nieuw-Helvoet";"Voorne aan Zee                          ";"Wijk      ";"WK199201  ";"1";;;;;;;;;;;;;
"Nieuw-Helvoet";"Voorne aan Zee                          ";"Buurt     ";"BU19920100";"1";;;;;;;;;;;;;
"Bloemen- en Plantenbuurt";"Voorne aan Zee                          ";"Buurt     ";"BU19920101";"1";;;;;;;;;;;;;
"Kulck-Noord";"Voorne aan Zee                          ";"Buurt     ";"BU19920102";"1";;;;;;;;;;;;;
"Kulck-Zuid";"Voorne aan Zee                          ";"Buurt     ";"BU19920103";"1";;;;;;;;;;;;;
"Rijksstraatweg en omgeving";"Voorne aan Zee                          ";"Buurt     ";"BU19920104";"1";;;;;;;;;;;;;
"Dorp en Hoonaart";"Voorne aan Zee                          ";"Buurt     ";"BU19920105";"1";;;;;;;;;;;;;
"Vogelbuurt";"Voorne aan Zee                          ";"Buurt     ";"BU19920106";"1";;;;;;;;;;;;;
"Boomgaard";"Voorne aan Zee                          ";"Buurt     ";"BU19920107";"1";;;;;;;;;;;;;
"Nieuwenhoorn";"Voorne aan Zee                          ";"Wijk      ";"WK199202  ";"1";;;;;;;;;;;;;
"Nieuwenhoorn";"Voorne aan Zee                          ";"Buurt     ";"BU19920200";"1";;;;;;;;;;;;;
"t Lange Land";"Voorne aan Zee                          ";"Buurt     ";"BU19920201";"1";;;;;;;;;;;;;
"De Struyten";"Voorne aan Zee                          ";"Wijk      ";"WK199203  ";"1";;;;;;;;;;;;;
"Kanaalzicht";"Voorne aan Zee                          ";"Buurt     ";"BU19920300";"1";;;;;;;;;;;;;
"Wittens Hoeck";"Voorne aan Zee                          ";"Buurt     ";"BU19920301";"1";;;;;;;;;;;;;
"Gorsingen Hoeck";"Voorne aan Zee                          ";"Buurt     ";"BU19920302";"1";;;;;;;;;;;;;
"Hooghen Hoeck";"Voorne aan Zee                          ";"Buurt     ";"BU19920303";"1";;;;;;;;;;;;;
"De Kooistee";"Voorne aan Zee                          ";"Wijk      ";"WK199204  ";"1";;;;;;;;;;;;;
"Hout Hoeffe";"Voorne aan Zee                          ";"Buurt     ";"BU19920400";"1";;;;;;;;;;;;;
"Koele Nacht";"Voorne aan Zee                          ";"Buurt     ";"BU19920401";"1";;;;;;;;;;;;;
"Morgen Stont";"Voorne aan Zee                          ";"Buurt     ";"BU19920402";"1";;;;;;;;;;;;;
"Vlotbrug";"Voorne aan Zee                          ";"Buurt     ";"BU19920404";"1";;;;;;;;;;;;;
"Den Bonsen Hoek";"Voorne aan Zee                          ";"Wijk      ";"WK199205  ";"1";;;;;;;;;;;;;
"Tolhoeck";"Voorne aan Zee                          ";"Buurt     ";"BU19920500";"1";;;;;;;;;;;;;
"Out Jaar";"Voorne aan Zee                          ";"Buurt     ";"BU19920502";"1";;;;;;;;;;;;;
"Logendal";"Voorne aan Zee                          ";"Buurt     ";"BU19920503";"1";;;;;;;;;;;;;
"Kruis Hoeffe";"Voorne aan Zee                          ";"Buurt     ";"BU19920504";"1";;;;;;;;;;;;;
"Salem";"Voorne aan Zee                          ";"Buurt     ";"BU19920505";"1";;;;;;;;;;;;;
"Ravense Hoek";"Voorne aan Zee                          ";"Wijk      ";"WK199206  ";"1";;;;;;;;;;;;;
"Wagenzicht";"Voorne aan Zee                          ";"Buurt     ";"BU19920600";"1";;;;;;;;;;;;;
"Altena";"Voorne aan Zee                          ";"Buurt     ";"BU19920601";"1";;;;;;;;;;;;;
"Centrumgebied";"Voorne aan Zee                          ";"Wijk      ";"WK199207  ";"1";;;;;;;;;;;;;
"Centrumgebied-West";"Voorne aan Zee                          ";"Buurt     ";"BU19920700";"1";;;;;;;;;;;;;
"Centrumgebied-Oost";"Voorne aan Zee                          ";"Buurt     ";"BU19920701";"1";;;;;;;;;;;;;
"Kickers Bloem";"Voorne aan Zee                          ";"Wijk      ";"WK199208  ";"1";;;;;;;;;;;;;
"Kickers Bloem";"Voorne aan Zee                          ";"Buurt     ";"BU19920800";"1";;;;;;;;;;;;;
"Buitengebied";"Voorne aan Zee                          ";"Wijk      ";"WK199209  ";"1";;;;;;;;;;;;;
"Duinhoeck";"Voorne aan Zee                          ";"Buurt     ";"BU19920900";"1";;;;;;;;;;;;;
"Buitengebied";"Voorne aan Zee                          ";"Buurt     ";"BU19920901";"1";;;;;;;;;;;;;
"Heliushaven";"Voorne aan Zee                          ";"Buurt     ";"BU19920902";"1";;;;;;;;;;;;;
"Oudenhoorn";"Voorne aan Zee                          ";"Wijk      ";"WK199210  ";"1";;;;;;;;;;;;;
"Kern Oudenhoorn";"Voorne aan Zee                          ";"Buurt     ";"BU19921001";"1";;;;;;;;;;;;;
"Poldergebied Oudenhoorn";"Voorne aan Zee                          ";"Buurt     ";"BU19921002";"1";;;;;;;;;;;;;
"Poldergebied Nieuwenhoorn";"Voorne aan Zee                          ";"Buurt     ";"BU19921003";"1";;;;;;;;;;;;;
"Rockanje";"Voorne aan Zee                          ";"Wijk      ";"WK199220  ";"1";;;;;;;;;;;;;
"Rockanje";"Voorne aan Zee                          ";"Buurt     ";"BU19922000";"1";;;;;;;;;;;;;
"Helhoek";"Voorne aan Zee                          ";"Buurt     ";"BU19922001";"1";;;;;;;;;;;;;
"Strijpe";"Voorne aan Zee                          ";"Buurt     ";"BU19922002";"1";;;;;;;;;;;;;
"Stuifakker";"Voorne aan Zee                          ";"Buurt     ";"BU19922003";"1";;;;;;;;;;;;;
"Zuidhoek";"Voorne aan Zee                          ";"Buurt     ";"BU19922004";"1";;;;;;;;;;;;;
"Nieuw gebied";"Voorne aan Zee                          ";"Buurt     ";"BU19922005";"1";;;;;;;;;;;;;
"Verspreide huizen";"Voorne aan Zee                          ";"Buurt     ";"BU19922009";"1";;;;;;;;;;;;;
"Oostvoorne";"Voorne aan Zee                          ";"Wijk      ";"WK199221  ";"1";;;;;;;;;;;;;
"Oostvoorne";"Voorne aan Zee                          ";"Buurt     ";"BU19922100";"1";;;;;;;;;;;;;
"De Waranda";"Voorne aan Zee                          ";"Buurt     ";"BU19922101";"1";;;;;;;;;;;;;
"Kruiningergors";"Voorne aan Zee                          ";"Buurt     ";"BU19922102";"1";;;;;;;;;;;;;
"Tinte";"Voorne aan Zee                          ";"Buurt     ";"BU19922103";"1";;;;;;;;;;;;;
"Goudhoek";"Voorne aan Zee                          ";"Buurt     ";"BU19922104";"1";;;;;;;;;;;;;
"Vogelenzang";"Voorne aan Zee                          ";"Buurt     ";"BU19922105";"1";;;;;;;;;;;;;
"Duinoord";"Voorne aan Zee                          ";"Buurt     ";"BU19922106";"1";;;;;;;;;;;;;
"Verspreide huizen in het Westen";"Voorne aan Zee                          ";"Buurt     ";"BU19922108";"1";;;;;;;;;;;;;
"Verspreide huizen in het Oosten";"Voorne aan Zee                          ";"Buurt     ";"BU19922109";"1";;;;;;;;;;;;;
"Brielle";"Voorne aan Zee                          ";"Wijk      ";"WK199230  ";"1";;;;;;;;;;;;;
"Brielle";"Voorne aan Zee                          ";"Buurt     ";"BU19923000";"1";;;;;;;;;;;;;
"Spuilaan en omgeving";"Voorne aan Zee                          ";"Buurt     ";"BU19923001";"1";;;;;;;;;;;;;
"De Kapel en omgeving";"Voorne aan Zee                          ";"Buurt     ";"BU19923002";"1";;;;;;;;;;;;;
"Rugge";"Voorne aan Zee                          ";"Buurt     ";"BU19923003";"1";;;;;;;;;;;;;
"Noord Meeuwenoord";"Voorne aan Zee                          ";"Buurt     ";"BU19923004";"1";;;;;;;;;;;;;
"Kleine Goote";"Voorne aan Zee                          ";"Buurt     ";"BU19923005";"1";;;;;;;;;;;;;
"Nieuwland";"Voorne aan Zee                          ";"Buurt     ";"BU19923006";"1";;;;;;;;;;;;;
"Verspreide huizen";"Voorne aan Zee                          ";"Buurt     ";"BU19923009";"1";;;;;;;;;;;;;
"Vierpolders";"Voorne aan Zee                          ";"Wijk      ";"WK199231  ";"1";;;;;;;;;;;;;
"Vierpolders";"Voorne aan Zee                          ";"Buurt     ";"BU19923100";"1";;;;;;;;;;;;;
"Verspreide huizen";"Voorne aan Zee                          ";"Buurt     ";"BU19923109";"1";;;;;;;;;;;;;
"Zwartewaal";"Voorne aan Zee                          ";"Wijk      ";"WK199232  ";"1";;;;;;;;;;;;;
"Zwartewaal";"Voorne aan Zee                          ";"Buurt     ";"BU19923200";"1";;;;;;;;;;;;;
"Tuindorp-Hofstede";"Voorne aan Zee                          ";"Buurt     ";"BU19923201";"1";;;;;;;;;;;;;
"Zalmlaan";"Voorne aan Zee                          ";"Buurt     ";"BU19923202";"1";;;;;;;;;;;;;
"Verspreide huizen";"Voorne aan Zee                          ";"Buurt     ";"BU19923209";"1";;;;;;;;;;;;;
"Recreatiestrook Brielse Maas";"Voorne aan Zee                          ";"Wijk      ";"WK199233  ";"1";;;;;;;;;;;;;
"Recreatiestrook Brielse Maas";"Voorne aan Zee                          ";"Buurt     ";"BU19923300";"1";;;;;;;;;;;;;
"Voorschoten";"Voorschoten                             ";"Gemeente  ";"GM0626    ";"1";;;;;;;;;;;;;
"Wijk 00";"Voorschoten                             ";"Wijk      ";"WK062600  ";"1";;;;;;;;;;;;;
"Noord-Hofland";"Voorschoten                             ";"Buurt     ";"BU06260001";"1";;;;;;;;;;;;;
"Adegeest";"Voorschoten                             ";"Buurt     ";"BU06260002";"1";;;;;;;;;;;;;
"Boschgeest";"Voorschoten                             ";"Buurt     ";"BU06260004";"1";;;;;;;;;;;;;
"Bijdorp";"Voorschoten                             ";"Buurt     ";"BU06260006";"1";;;;;;;;;;;;;
"Vlietwijk";"Voorschoten                             ";"Buurt     ";"BU06260007";"1";;;;;;;;;;;;;
"Starrenburg";"Voorschoten                             ";"Buurt     ";"BU06260008";"1";;;;;;;;;;;;;
