"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Afstand tot warenhuis (km)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 10 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 20 km (aantal)"
"Oranjebuurt";"Teylingen                               ";"Buurt     ";"BU15251405";"1";0,7;1,8;6;8;0,7;5,1;24,2;35,9;1,3;2;10,1;21
"Centrum";"Teylingen                               ";"Buurt     ";"BU15251406";"1";0,5;1,7;4;13,2;0,3;13,6;18,2;47,3;0,5;2,4;9,5;23,3
"Ter Leede";"Teylingen                               ";"Buurt     ";"BU15251407";"1";1;0,6;4;14,6;0,9;4,8;19;50,6;1;2,9;8,7;25,3
"Vogelbuurt";"Teylingen                               ";"Buurt     ";"BU15251408";"1";1,2;0;4;15;0,8;4,7;19;54,8;1,1;3;8,1;24,8
"Sassenheim buiten";"Teylingen                               ";"Wijk      ";"WK152515  ";"1";2;0;4;11;1,9;0,1;14,2;47,9;2,4;2,7;10,9;23,4
"Sassenheim buitengebied Noord";"Teylingen                               ";"Buurt     ";"BU15251501";"1";;;;;;;;;;;;
"Sassenheim buitengebied Oost";"Teylingen                               ";"Buurt     ";"BU15251502";"1";1,6;0;3;5,9;1,4;0,2;17,6;25,5;1,6;1,2;7,8;22,8
"Sassenheim buitengebied Zuid";"Teylingen                               ";"Buurt     ";"BU15251503";"1";2,3;0;4,7;14,5;2,3;0;11,8;63,5;2,9;3,8;13;23,9
"Warmond";"Teylingen                               ";"Wijk      ";"WK152521  ";"1";0,7;0,9;2,7;13,1;0,6;2,5;8,2;50;2,9;2,4;10,6;24,9
"Middelbuurt";"Teylingen                               ";"Buurt     ";"BU15252101";"1";0,6;0,9;2,6;12,3;0,6;2,5;5,9;47,4;3,1;2,4;10,7;24,4
"Kloosterland-Endepoel";"Teylingen                               ";"Buurt     ";"BU15252102";"1";0,6;1;2,4;12,1;0,6;2,9;7,4;41,8;2,8;1,8;10,3;24,8
"Westeinde-Lommerlust";"Teylingen                               ";"Buurt     ";"BU15252103";"1";1;0,4;5;21,3;0,9;1,4;21;100,4;2;4,9;11,7;27,4
"Veerpolder";"Teylingen                               ";"Buurt     ";"BU15252104";"1";1,3;0;2,1;8,8;1,2;0,4;6;29,6;2,9;1,4;9,5;23,6
"Warmond buiten";"Teylingen                               ";"Wijk      ";"WK152522  ";"1";2,3;0;2,3;8,8;2,3;0,1;4;36;4;2,1;9,9;21,3
"Hennepoel";"Teylingen                               ";"Buurt     ";"BU15252201";"1";1,7;0,4;3,8;19,3;1,6;0,4;13,9;89,5;2,2;3,4;11,2;27
"Warmond buitengebied-Oosteinde";"Teylingen                               ";"Buurt     ";"BU15252202";"1";2,3;0;2,3;8,5;2,3;0,1;3,7;34,6;4;2,1;9,8;21,1
"Tholen";"Tholen                                  ";"Gemeente  ";"GM0716    ";"1";1,1;0,9;1,5;2;1,3;2,4;4,9;6,1;12;0,1;0,6;2,7
"Tholen";"Tholen                                  ";"Wijk      ";"WK071600  ";"1";1,4;0,8;1,9;2,7;1,2;3,9;10,6;13,2;5,8;0,2;1,5;4,3
"Tholen";"Tholen                                  ";"Buurt     ";"BU07160000";"1";1,3;0,8;2;2,7;1,1;4,1;10,9;13,3;5,7;0,2;1,6;4,3
"Verspreide huizen Tholen";"Tholen                                  ";"Buurt     ";"BU07160009";"1";3;0;0,8;2,5;3,2;0;4;9,3;8,2;0;0,9;3,5
"Poortvliet";"Tholen                                  ";"Wijk      ";"WK071601  ";"1";0,9;0,8;0,9;1,3;5,3;0;0;0,6;11,1;0;0;3
"Poortvliet";"Tholen                                  ";"Buurt     ";"BU07160100";"1";0,3;1;1;1,1;5,4;0;0;0,1;10,8;0;0;3
"Verspreide huizen Poortvliet";"Tholen                                  ";"Buurt     ";"BU07160109";"1";2,6;0,1;0,5;1,9;4,8;0;0;2;12,1;0;0,1;3
"Scherpenisse";"Tholen                                  ";"Wijk      ";"WK071602  ";"1";2,5;0;1,9;3;2,5;0;3,8;4;13,8;0;0;2,9
"Scherpenisse";"Tholen                                  ";"Buurt     ";"BU07160200";"1";2,5;0;2;3;2,4;0;3,9;4;13,7;0;0;3
"Verspreide huizen Scherpenisse";"Tholen                                  ";"Buurt     ";"BU07160209";"1";2,7;0;1,5;2,7;2,9;0;2,9;4;14,6;0;0;2,5
"Sint-Maartensdijk";"Tholen                                  ";"Wijk      ";"WK071603  ";"1";0,8;1,8;1,9;2,1;0,7;3,5;3,8;4,1;16,2;0;0;1,3
"Sint-Maartensdijk";"Tholen                                  ";"Buurt     ";"BU07160300";"1";0,6;2;2;2;0,5;3,9;4;4;16;0;0;1,3
"Verspreide huizen Sint-Maartensdijk";"Tholen                                  ";"Buurt     ";"BU07160309";"1";2,3;0,4;1,3;2,5;2,3;0,5;2,4;4,9;17,5;0;0;1,3
"Stavenisse";"Tholen                                  ";"Wijk      ";"WK071604  ";"1";0,5;0,9;1;1;0,5;1,8;2;2;22,6;0;0;0
"Stavenisse";"Tholen                                  ";"Buurt     ";"BU07160400";"1";0,4;1;1;1;0,4;2;2;2;22,6;0;0;0
"Verspreide huizen Stavenisse";"Tholen                                  ";"Buurt     ";"BU07160409";"1";1,8;0,2;1;1;1,8;0,5;1,9;2,1;22,4;0;0;0
"Sint-Annaland";"Tholen                                  ";"Wijk      ";"WK071605  ";"1";0,7;0,8;1;1;0,6;2,5;3;3;17,4;0;0;2
"Sint-Annaland";"Tholen                                  ";"Buurt     ";"BU07160500";"1";0,6;0,8;1;1;0,6;2,6;3;3;17,4;0;0;2
"Verspreide huizen Sint-Annaland";"Tholen                                  ";"Buurt     ";"BU07160509";"1";2,2;0;0,8;1,2;2,1;0,1;2,4;3,4;17,8;0;0;1,8
"Oud-Vossemeer";"Tholen                                  ";"Wijk      ";"WK071606  ";"1";0,6;0,9;1;2,4;0,6;0,9;1,1;4,4;9,5;0;0,9;3
"Oud-Vossemeer";"Tholen                                  ";"Buurt     ";"BU07160600";"1";0,4;1;1;2,4;0,4;1;1;4,2;9,4;0;1;3
"Verspreide huizen Oud-Vossemeer";"Tholen                                  ";"Buurt     ";"BU07160609";"1";1,9;0,2;0,9;2,6;1,9;0,2;1,5;6,4;9,7;0;0,5;3,2
"Sint Philipsland";"Tholen                                  ";"Wijk      ";"WK071607  ";"1";1,3;0,8;0,8;0,9;1,3;0,8;0,8;0,9;13;0;0;1,8
"Sint Philipsland";"Tholen                                  ";"Buurt     ";"BU07160700";"1";0,5;1;1;1;0,5;1;1;1;12,3;0;0;2
"Verspreide huizen Sint Philipsland";"Tholen                                  ";"Buurt     ";"BU07160709";"1";4,1;0;0,3;0,5;4,1;0;0,3;0,5;15,3;0;0;1,5
"Anna Jacobapolder";"Tholen                                  ";"Buurt     ";"BU07160710";"1";4,8;0;0;1;4,8;0;0;1;16,2;0;0;1
"Tiel";"Tiel                                    ";"Gemeente  ";"GM0281    ";"1";1;1,1;6,2;9,6;0,9;3;18,6;29,5;2,7;0,9;1,8;8,1
"Tiel kern";"Tiel                                    ";"Wijk      ";"WK028100  ";"1";0,7;1,9;8;9,9;0,5;5,1;24,9;30,8;1,4;1;1,9;8,4
"Binnenstad";"Tiel                                    ";"Buurt     ";"BU02810000";"1";0,5;2,6;8,8;9,8;0,2;8,5;27,1;30,6;0,8;1;1,2;8
"Sterrebos";"Tiel                                    ";"Buurt     ";"BU02810001";"1";0,4;1,8;8,8;10,1;0,4;6;27,2;31,1;1,1;1;1;8,6
"Hertogenwijk";"Tiel                                    ";"Buurt     ";"BU02810002";"1";0,4;2,7;8,2;10,5;0,3;6,9;26,3;31,8;1,4;1;1;9
"Burgemeesterswijk";"Tiel                                    ";"Buurt     ";"BU02810003";"1";0,7;2;8,6;10,5;0,8;3,9;27,4;31,9;1,7;1;1;9
"Stationsbuurt";"Tiel                                    ";"Buurt     ";"BU02810004";"1";0,5;1,8;9;10,1;0,4;2,4;28,3;31,7;1,6;1;1,3;8,9
"Santwijck";"Tiel                                    ";"Buurt     ";"BU02810005";"1";0,5;3,2;8,9;9,3;0,4;5,7;27,7;29,8;1;1;2,6;8,4
"De Lok";"Tiel                                    ";"Buurt     ";"BU02810006";"1";0,6;2,4;9;9;0,3;4,9;27,9;29,3;1,1;1;3;8,3
"Het Ooij";"Tiel                                    ";"Buurt     ";"BU02810007";"1";1;1,2;6,6;9;0,4;3,4;20,8;29,6;1,3;1;3;8
"Latenstein";"Tiel                                    ";"Buurt     ";"BU02810009";"1";0,9;1,5;7,1;9;0,6;5,1;22,3;28,9;1;1;2,9;8
"Tiel-West";"Tiel                                    ";"Buurt     ";"BU02810010";"1";0,8;2;9,3;11;0,7;6;28,7;33;2,4;1;1;9
"Wadenoijenlaan e.o.";"Tiel                                    ";"Buurt     ";"BU02810011";"1";0,8;1,2;6,9;11;0,8;3,1;21,2;33;2,8;1;1,2;8,4
"Tiel-Noord";"Tiel                                    ";"Wijk      ";"WK028101  ";"1";0,9;0,7;6,7;10,3;0,7;1,8;19,8;32,7;2,8;1;1,7;9
"Elzenpas";"Tiel                                    ";"Buurt     ";"BU02810100";"1";0,8;1;8;10,3;0,5;1,7;25,8;33;2,4;1;1,6;9
"Westroijen";"Tiel                                    ";"Buurt     ";"BU02810101";"1";1;0,4;7,7;9;0,7;1,6;24,4;30,1;1,9;1;3;9
"Rauwenhof e.o.";"Tiel                                    ";"Buurt     ";"BU02810102";"1";1,4;0,5;4,3;11;0,8;1,8;11,4;33,2;3,9;1;2;8,6
"Rauwenhof";"Tiel                                    ";"Buurt     ";"BU02810103";"1";0,7;0,7;6,2;11;0,6;2,3;15,6;33,5;3,6;1;1,2;9
"Drumpt";"Tiel                                    ";"Buurt     ";"BU02810104";"1";1;0,5;5,2;11;0,9;1,4;13,5;34,1;3,3;1;1,3;9
"Industrieterrein Medel";"Tiel                                    ";"Buurt     ";"BU02810107";"1";;;;;;;;;;;;
"Veluwe";"Tiel                                    ";"Buurt     ";"BU02810108";"1";2,1;0;3,7;8,9;2;0;9,6;31,4;3,4;1;1,3;9,3
"Industrieterrein Kellen";"Tiel                                    ";"Buurt     ";"BU02810109";"1";2,4;0;4,2;8,8;2;0;9,6;30,3;2,9;1;3;10,4
"Wadenoijen en Kapel Avezaath";"Tiel                                    ";"Wijk      ";"WK028102  ";"1";1,3;0,5;1,9;6,3;1,1;0,6;4;16,9;5,8;0,1;2;7,1
"Wadenoijen";"Tiel                                    ";"Buurt     ";"BU02810200";"1";0,8;0,9;1,9;5,4;0,8;0,9;3,1;15,4;6,1;0;2;6,5
"Kapel-Avezaath";"Tiel                                    ";"Buurt     ";"BU02810201";"1";0,6;0,9;1,2;7,3;0,6;0,9;2,7;17,2;5,8;0;2;7,1
"Kapel-Avezaath e.o.";"Tiel                                    ";"Buurt     ";"BU02810208";"1";1,5;0;3,9;10,5;0,9;0,3;10,5;30,4;4,5;0,7;2;8,3
"Wadenoijen e.o.";"Tiel                                    ";"Buurt     ";"BU02810209";"1";2,5;0;1;3,2;2,2;0;1,5;8,1;6,2;0;2;7,1
"Tiel-Zuid";"Tiel                                    ";"Wijk      ";"WK028103  ";"1";1,8;0,1;2,9;8,9;1,8;0,3;6,9;25,8;4,4;0,7;1,5;6,5
"Passewaaij-Noord-West";"Tiel                                    ";"Buurt     ";"BU02810300";"1";0,9;0,6;4,3;10,7;0,9;1,3;10,8;30,7;4,3;1;2;7,5
"Passewaaij-Noord-Oost";"Tiel                                    ";"Buurt     ";"BU02810301";"1";1,7;0;4;11;1,7;0;10,4;32,4;3,7;1;1,4;7,7
"Passewaaij-Zuid-West";"Tiel                                    ";"Buurt     ";"BU02810302";"1";1,7;0;2,1;6,3;1,7;0,1;3,2;17;5,3;0,1;2;6
"Passewaaij-Zuid-Oost";"Tiel                                    ";"Buurt     ";"BU02810303";"1";2,5;0;1,8;8,3;2,5;0,1;4,7;25,2;4,4;0,9;1;5,3
"Passewaaij e.o.";"Tiel                                    ";"Buurt     ";"BU02810304";"1";1,1;0,7;5,8;11;1,1;2,1;17,6;32,2;2,7;1;1;8,2
"Zennewijnen";"Tiel                                    ";"Buurt     ";"BU02810305";"1";2,6;0;1,8;9,2;2,5;0;4,9;26,9;4,2;1;1;5,6
"Zennewijnen e.o.";"Tiel                                    ";"Buurt     ";"BU02810306";"1";3,2;0;0,5;5,6;3,1;0;0,8;15,2;5,2;0,4;1,3;5,3
"Tilburg";"Tilburg                                 ";"Gemeente  ";"GM0855    ";"1";0,8;2,3;15,6;31,9;0,7;7,8;56,5;111,1;1,9;2,5;6,3;16
"Binnenstad";"Tilburg                                 ";"Wijk      ";"WK085510  ";"1";0,6;3,3;26,9;45,8;0,2;27,8;102,2;162,2;0,7;3,1;7,4;15,9
"Binnenstad West";"Tilburg                                 ";"Buurt     ";"BU08551001";"1";0,4;4,3;27,7;48,5;0,1;32,7;104,8;168,7;0,8;3;7;15,9
"Binnenstad Oost";"Tilburg                                 ";"Buurt     ";"BU08551002";"1";0,8;2,2;26,2;45,6;0,2;31,6;101,3;160,8;0,4;3;7,4;16,6
"Koningsplein";"Tilburg                                 ";"Buurt     ";"BU08551003";"1";0,4;2,4;26,9;41,7;0,5;16,2;99,4;152,2;0,8;3,3;7,9;15
"Oude Dijk";"Tilburg                                 ";"Buurt     ";"BU08551004";"1";0,5;5,6;26,5;43,6;0,5;13,7;100,6;160,2;1,3;3,5;7,7;14,5
"Hoogvenne";"Tilburg                                 ";"Wijk      ";"WK085511  ";"1";0,8;1,2;24,8;41;0,4;10,7;93,9;145,2;1;3;8;16
"Veemarktkwartier";"Tilburg                                 ";"Buurt     ";"BU08551101";"1";1;0,7;24,8;44,2;0,3;26,1;96,9;157,4;0,5;3;8;16,9
"Tivoli";"Tilburg                                 ";"Buurt     ";"BU08551102";"1";0,9;1,1;23,5;43,8;0,4;7,7;92,1;152,1;1;3,4;8;16,4
"Hoogvenne Oost";"Tilburg                                 ";"Buurt     ";"BU08551103";"1";0,9;1,2;24,9;39,2;0,3;8,2;92,6;134,8;1,3;2,8;8;16
"Hoogvenne West";"Tilburg                                 ";"Buurt     ";"BU08551104";"1";0,7;0,9;25,2;40,1;0,4;13;94,5;142,1;0,9;2,8;7,9;15,8
"Piushaven";"Tilburg                                 ";"Buurt     ";"BU08551105";"1";0,5;2,2;26,9;39;0,3;11,5;97;147,9;1;3,1;8;15,4
"Armhoef";"Tilburg                                 ";"Wijk      ";"WK085512  ";"1";0,7;1,9;18,8;44,5;0,7;1,9;83,8;152,3;1,7;3,7;8;15,8
"Armhoef Noord-West";"Tilburg                                 ";"Buurt     ";"BU08551201";"1";0,5;2;21,2;47,1;0,5;2,4;88,1;159,9;1,6;4;8;16,1
"Armhoef Noord-Oost";"Tilburg                                 ";"Buurt     ";"BU08551202";"1";0,6;2;19,3;46,6;0,6;1,4;85,4;157,6;1,7;4;8;16
"Armhoef Zuid";"Tilburg                                 ";"Buurt     ";"BU08551203";"1";0,9;1,6;16;40,5;0,9;1,6;78,2;140,8;1,9;3,3;8;15,4
"Jeruzalem";"Tilburg                                 ";"Wijk      ";"WK085513  ";"1";1;0,9;17,1;33,5;0,5;4;74,8;119,5;2,1;2;8;15,1
"Jeruzalem Noord";"Tilburg                                 ";"Buurt     ";"BU08551301";"1";1,1;0,6;17,1;33,6;0,5;3,2;75,6;119,8;2,1;2;8;15,2
"Jeruzalem Zuid";"Tilburg                                 ";"Buurt     ";"BU08551302";"1";1;1,1;17,1;33,4;0,5;4,5;74,3;119,3;2,1;2;8;15
"Fatima";"Tilburg                                 ";"Wijk      ";"WK085514  ";"1";0,8;1,7;22,7;34,2;0,3;7,6;82,5;124,8;1,6;2,1;8;15,7
"Fatima West";"Tilburg                                 ";"Buurt     ";"BU08551401";"1";0,7;1,7;23,3;34,6;0,3;6,2;83,4;129,3;1,6;2,4;8;15,5
"Fatima Oost";"Tilburg                                 ";"Buurt     ";"BU08551402";"1";0,9;1,6;21,6;32,3;0,5;8,9;77,7;114,5;1,8;1,5;8;15,8
"Fatima Noord";"Tilburg                                 ";"Buurt     ";"BU08551403";"1";0,8;2;23;36,5;0,1;11,9;89,5;126,6;1,6;2;8;16
"Bedrijventerrein AaBe";"Tilburg                                 ";"Buurt     ";"BU08551404";"1";;;;;;;;;;;;
"Hoevenseweg";"Tilburg                                 ";"Buurt     ";"BU08551405";"1";0,8;2;21,9;35,8;0,3;10,5;87,5;125,1;1,7;2;8;16
"Broekhoven";"Tilburg                                 ";"Wijk      ";"WK085515  ";"1";0,4;2,5;23,8;37,1;0,3;4,5;87,1;139;1,6;2,8;7,9;14,9
"Broekhoven I West";"Tilburg                                 ";"Buurt     ";"BU08551501";"1";0,5;3,4;26,6;40;0,6;11,8;97,8;148,9;1,1;3,2;8;15
"Broekhoven I";"Tilburg                                 ";"Buurt     ";"BU08551502";"1";0,4;2,7;25,9;37;0,4;5,5;94,4;141;1,3;2,9;8;15
"Voltterrein";"Tilburg                                 ";"Buurt     ";"BU08551503";"1";0,2;3,2;25,5;39,3;0,3;4,7;94,6;145;1,5;3;8;15
"Broekhoven II West";"Tilburg                                 ";"Buurt     ";"BU08551504";"1";0,4;2,1;21,3;37,2;0,3;2,6;77,5;137;1,8;2,7;7,7;14,5
"Broekhoven II Oost";"Tilburg                                 ";"Buurt     ";"BU08551505";"1";0,3;1,5;21,8;33,9;0,3;3,7;80,4;128,3;1,7;2,2;8;15
"Oerle";"Tilburg                                 ";"Wijk      ";"WK085516  ";"1";0,5;5,2;22;41,1;0,5;9,1;79,9;149,9;2;3,1;7,3;14,2
"Afrikaanderbuurt West";"Tilburg                                 ";"Buurt     ";"BU08551601";"1";0,5;3,7;19,3;42,9;0,5;8,3;66,9;152,7;2,6;3;6,2;13,5
"Afrikaanderbuurt Midden";"Tilburg                                 ";"Buurt     ";"BU08551602";"1";0,7;4,6;19,2;41,4;0,4;8,7;67,1;150,3;2,4;3;6,8;13,9
"Afrikaanderbuurt Oost";"Tilburg                                 ";"Buurt     ";"BU08551603";"1";0,5;4,1;21,3;40,7;0,5;6,3;76,2;146,9;1,9;3;7,4;14,1
"Zeeheldenbuurt";"Tilburg                                 ";"Buurt     ";"BU08551604";"1";0,4;6,7;25,6;40,6;0,6;11,2;96,4;150,4;1,4;3,1;8;14,8
"Korvel";"Tilburg                                 ";"Wijk      ";"WK085517  ";"1";0,5;4;20,4;46,7;0,4;8,5;74,4;162,6;2,5;3,3;6;13,5
"Kromhoutpark";"Tilburg                                 ";"Buurt     ";"BU08551701";"1";0,9;3,1;27,6;52,5;0,4;5,2;112,3;175,6;1,8;4;6;14
"Westend";"Tilburg                                 ";"Buurt     ";"BU08551702";"1";0,6;3,8;23,6;50,6;0,5;7,3;88,7;171,2;2,2;3,9;6;14
"Schildersbuurt Noord";"Tilburg                                 ";"Buurt     ";"BU08551703";"1";0,6;4,6;24,4;49,1;0,6;9,5;95,6;168,8;2;3,9;6;14
"Schildersbuurt Zuid";"Tilburg                                 ";"Buurt     ";"BU08551704";"1";0,3;5,4;20,4;46;0,4;11,5;73,8;160;2,2;3,3;6;13,9
"Schrijversbuurt";"Tilburg                                 ";"Buurt     ";"BU08551705";"1";0,4;4,5;20,4;45,6;0,4;10,2;73,5;160,3;2,5;3,1;6;13,7
"Staatsliedenbuurt Oost";"Tilburg                                 ";"Buurt     ";"BU08551706";"1";0,6;3,4;17,8;45;0,3;7,5;61,4;159,2;2,8;3;6;13,1
"Het Laar";"Tilburg                                 ";"Buurt     ";"BU08551707";"1";0,9;2;16;45;0;4;55;159;3;3;6;13
"Trouwlaan - Uitvindersbuurt";"Tilburg                                 ";"Wijk      ";"WK085518  ";"1";0,4;7,8;22,3;44,2;0,3;13,5;85,7;158;1,9;3,5;6,7;13,9
"Trouwlaan";"Tilburg                                 ";"Buurt     ";"BU08551801";"1";0,3;8,3;24,4;45,8;0,3;14,2;97,2;162,9;1,6;3,8;6,8;14
"Uitvindersbuurt";"Tilburg                                 ";"Buurt     ";"BU08551802";"1";0,4;7,4;20,4;42,8;0,2;12,9;75,9;153,7;2,1;3,2;6,6;13,9
"Sint Anna";"Tilburg                                 ";"Wijk      ";"WK085519  ";"1";0,4;6,8;24,2;49;0,4;16,6;97,2;169,4;1,6;3,8;6,1;14,2
"Sint Anna Noord";"Tilburg                                 ";"Buurt     ";"BU08551901";"1";0,5;6,4;25,4;49,8;0,5;18,2;101,5;171,9;1,5;3,8;6,3;14,5
"Sint Anna Zuid";"Tilburg                                 ";"Buurt     ";"BU08551902";"1";0,3;7,4;22,7;47,9;0,2;14,6;91,8;166,2;1,7;3,8;6;13,9
"Noordhoek";"Tilburg                                 ";"Wijk      ";"WK085520  ";"1";0,7;2,4;30,3;50,1;0,4;10,7;117,5;172,9;1,6;3,1;6,6;14,8
"Bomenbuurt West";"Tilburg                                 ";"Buurt     ";"BU08552001";"1";0,9;1,1;30;50,3;0,6;4,4;118,3;174,8;1,9;3,2;6,1;14
"Bomenbuurt Midden";"Tilburg                                 ";"Buurt     ";"BU08552002";"1";0,7;2,2;30,4;50,3;0,5;9,4;117;173,9;1,6;3,2;6,6;14,6
"Bomenbuurt Oost";"Tilburg                                 ";"Buurt     ";"BU08552003";"1";0,5;3,9;30,5;49,5;0,3;19,7;117,9;169,1;1,2;3;7;16
"Spoorzone Zuid";"Tilburg                                 ";"Wijk      ";"WK085521  ";"1";0,6;2,4;30,5;49,5;0,6;12,3;119,2;167,4;1,5;3;6,8;15,3
"VGL-terrein";"Tilburg                                 ";"Buurt     ";"BU08552101";"1";0,9;0,8;29,2;50,6;0,7;3,7;117,6;174,5;1,9;3;6,3;14
"Talentsquare";"Tilburg                                 ";"Buurt     ";"BU08552102";"1";0,5;3;31;49;0,5;16;120;164;1,3;3;7;16
"Spoorlaan";"Tilburg                                 ";"Buurt     ";"BU08552103";"1";0,5;4;32;49;0,5;19;120;164;1,3;3;7;16
"Bouwmeester";"Tilburg                                 ";"Wijk      ";"WK085522  ";"1";0,6;2,2;28,8;49,2;0,6;4;114,9;163,2;1,7;3;6,4;14,3
"Bouwmeestersbuurt Noord";"Tilburg                                 ";"Buurt     ";"BU08552201";"1";0,4;2,8;30,6;49,6;0,5;5,8;117,5;163,9;1,8;3;6,7;14,5
"Bouwmeestersbuurt Zuid";"Tilburg                                 ";"Buurt     ";"BU08552202";"1";0,8;1,7;27;48,7;0,7;2,3;112,2;162,5;1,7;3;6,1;14,2
"De Hasselt";"Tilburg                                 ";"Wijk      ";"WK085523  ";"1";1;0,8;29,5;47,7;0,4;4,2;117;160,9;2;3;6,5;15,2
"Textielbuurt West";"Tilburg                                 ";"Buurt     ";"BU08552301";"1";1,1;0,3;27,8;47,6;0,4;3,1;110,8;160,1;2,1;3;6,3;15
"Textielbuurt Oost";"Tilburg                                 ";"Buurt     ";"BU08552302";"1";0,7;1;28,4;47,8;0,4;4,3;112,1;161;2,1;3;7;15,7
"Nassaubuurt";"Tilburg                                 ";"Buurt     ";"BU08552303";"1";1,2;0,2;28,9;47,7;0,3;2,9;115,9;160,5;1,7;3;6;15
"Kasteel West";"Tilburg                                 ";"Buurt     ";"BU08552304";"1";1;0,8;31;48;0,3;4,2;122,3;161,1;1,9;3;6,3;15
"Kasteel Oost";"Tilburg                                 ";"Buurt     ";"BU08552305";"1";0,7;2,1;30,9;47,4;0,4;6,7;121,1;161,6;2,1;3;7;15,3
"Het Goirke";"Tilburg                                 ";"Wijk      ";"WK085524  ";"1";0,5;3,1;29,6;47;0,3;12,7;113,5;161,1;2;3;7;15,6
"Goirke Noord";"Tilburg                                 ";"Buurt     ";"BU08552401";"1";0,3;1;28;46,4;0,3;4,9;103,3;158,4;1,6;3;7;15,5
"Pastorieklamp West";"Tilburg                                 ";"Buurt     ";"BU08552402";"1";0,5;3,5;30,4;47,2;0,4;12,5;117,8;162;2,1;3;7;15,3
"Pastorieklamp Oost";"Tilburg                                 ";"Buurt     ";"BU08552403";"1";0,5;4,8;29,4;47,2;0,3;21,4;115,3;162,2;2,1;3;7;16,4
"Groeseind-Hoefstraat";"Tilburg                                 ";"Wijk      ";"WK085525  ";"1";0,5;3,1;23,3;47,9;0,3;17,4;95,9;163,1;2;3,2;7;16,3
"Sint Pieterspark";"Tilburg                                 ";"Buurt     ";"BU08552501";"1";0,4;3,2;25,9;46,8;0,3;17;100;160,5;1,9;3;7;16,4
"Hoefstraat Noord";"Tilburg                                 ";"Buurt     ";"BU08552502";"1";0,6;1,7;22,5;47;0,3;6,5;87,1;160,9;1,8;3;7;15,7
"Padua";"Tilburg                                 ";"Buurt     ";"BU08552503";"1";0,3;4,7;24,4;48,3;0,2;29,3;102,4;163;2;3;7;16,9
"Hoefstraat Zuid";"Tilburg                                 ";"Buurt     ";"BU08552504";"1";0,7;2,5;20,1;49,6;0,4;16,4;92,5;167,7;2,3;3,7;7;16,1
"Loven-Besterd";"Tilburg                                 ";"Wijk      ";"WK085526  ";"1";0,5;4,5;20,7;48;0,3;21,3;92,1;164,3;1,8;3,6;7,4;16,5
"Besterd";"Tilburg                                 ";"Buurt     ";"BU08552601";"1";0,3;4,3;22,6;48,3;0,2;27,4;97,4;163,3;1,8;3,2;7;16,8
"Rosmolen";"Tilburg                                 ";"Buurt     ";"BU08552602";"1";0,7;3,7;20,4;49,8;0,6;21,8;94,9;168,2;2,2;4;7;16
"Loven Noord";"Tilburg                                 ";"Buurt     ";"BU08552603";"1";0,5;5,8;21,3;48,6;0,2;26,1;93,8;165,4;1,8;3,8;7,3;16,5
"Loven Zuid";"Tilburg                                 ";"Buurt     ";"BU08552604";"1";0,7;3,8;19,3;47;0,5;17;88;162,8;1,7;3,7;7,4;16,5
"Loven Oost";"Tilburg                                 ";"Buurt     ";"BU08552605";"1";0,5;3,9;19,1;48;0,3;11,7;87,1;165,7;1,7;4;7,9;16
"Theresia";"Tilburg                                 ";"Wijk      ";"WK085527  ";"1";0,4;5,3;28,3;48,8;0,3;23,3;108,9;165,1;1,8;3;7;16,4
"Theresia West";"Tilburg                                 ";"Buurt     ";"BU08552701";"1";0,2;4,5;32,9;48,9;0,3;15;119,5;164,2;1,8;3;7;15,5
"Theresia Midden";"Tilburg                                 ";"Buurt     ";"BU08552702";"1";0,5;5,8;29;48,8;0,4;24,3;110,7;165,4;1,9;3;7;16,4
"Theresia Oost";"Tilburg                                 ";"Buurt     ";"BU08552703";"1";0,3;5;23,7;48,7;0,2;27,4;98,4;165,1;1,6;3;7;17
"Spoorzone Noord";"Tilburg                                 ";"Wijk      ";"WK085528  ";"1";0,4;3;30;49;0,4;5;112,6;163,5;1,7;3;7;15,1
