"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Afstand tot warenhuis (km)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 10 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 20 km (aantal)"
"Nieuwediep";"Aa en Hunze                             ";"Buurt     ";"BU16801802";"1";5,2;0;0;0,4;1,5;0,4;0,9;1,9;8;0;2,6;7,1
"Verspreide huizen Gieterveen";"Aa en Hunze                             ";"Buurt     ";"BU16801809";"1";5,2;0;0,1;0,5;2,5;0,1;0,9;3;7,2;0;1,9;7
"Wijk 19 Rolde";"Aa en Hunze                             ";"Wijk      ";"WK168019  ";"1";1,2;0,9;2;2,5;0,8;2;5,9;8,2;7,3;0;2,7;7
"Rolde";"Aa en Hunze                             ";"Buurt     ";"BU16801900";"1";0,8;1,2;2;2,3;0,8;2,4;6,1;7,5;7,1;0;2,9;6,9
"Ballo";"Aa en Hunze                             ";"Buurt     ";"BU16801901";"1";1,7;0;2;4,8;0,4;1;5;12,6;5,5;0;2,5;7,4
"Nijlande";"Aa en Hunze                             ";"Buurt     ";"BU16801902";"1";2,4;0;2;3,2;2,4;0;4;8,8;6,3;0;2;7
"Deurze";"Aa en Hunze                             ";"Buurt     ";"BU16801903";"1";3,1;0;0,9;9,2;2;0;2,1;32,7;4,5;1,9;3;7
"Verspreide huizen Nooitgedacht";"Aa en Hunze                             ";"Buurt     ";"BU16801908";"1";2,4;0;1,9;2;0,6;0,9;5,9;7,8;8,9;0;2;7
"Verspreide huizen Rolde";"Aa en Hunze                             ";"Buurt     ";"BU16801909";"1";2,9;0,1;1,4;2,7;1,3;1,1;4,3;9,6;8;0,2;2,1;7
"Wijk 20 Grolloo";"Aa en Hunze                             ";"Wijk      ";"WK168020  ";"1";6,4;0;0;0,1;2,1;0,5;0,7;2,2;8,7;0;0,7;5,9
"Grolloo";"Aa en Hunze                             ";"Buurt     ";"BU16802000";"1";6,3;0;0;0;0,4;1;1,1;3;10;0;0,4;6
"Schoonloo";"Aa en Hunze                             ";"Buurt     ";"BU16802001";"1";6,9;0;0;0;3,8;0;0,1;1;7,2;0;1;5,1
