"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km)";"Gezondheid en welzijn/Afstand tot apotheek (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Afstand tot consultatiebureau (km)";"Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal)"
"Groenstraat-Noord";"Venlo                                   ";"Buurt     ";"BU09831303";"1";2;0;3;7;4,1;1,8;4,1;2;2;4,6;4,4;1;1;1;;;;;
"Groenstraat-Zuid";"Venlo                                   ";"Buurt     ";"BU09831304";"1";1,5;0;3,1;8;3,6;1,5;3,6;2;2;5;3,9;1;1;1;;;;;
"Stalberg-West";"Venlo                                   ";"Buurt     ";"BU09831305";"1";1,1;0,3;4,7;8,7;3,1;1,1;3,1;2;2;5;3,4;1;1;1;;;;;
"Groeneveld";"Venlo                                   ";"Buurt     ";"BU09831306";"1";0,6;1;4,5;10,5;3,1;0,6;3,1;2;2;5;3,3;1;1;1;;;;;
"Hogekamp";"Venlo                                   ";"Buurt     ";"BU09831307";"1";0,6;0,9;6,9;10,4;2,5;0,6;2,5;2;2;5;2,8;1;1;1;;;;;
"Stalberg-Noord";"Venlo                                   ";"Buurt     ";"BU09831308";"1";1,4;0;3,4;7,7;3,8;1,4;3,8;2;2;4,9;4,1;1;1;1;;;;;
"Wijk 14 Venlo-Noord";"Venlo                                   ";"Wijk      ";"WK098314  ";"1";0,6;1,7;3,4;9,4;3,5;0,6;3,5;2;2;4,9;3,9;1;1;1;;;;;
"Craneveld";"Venlo                                   ";"Buurt     ";"BU09831401";"1";0,4;2;4,4;9,5;3,1;0,3;3,1;2;2;5;3,4;1;1;1;;;;;
"Withuis";"Venlo                                   ";"Buurt     ";"BU09831402";"1";0,5;1,9;3,6;9,3;3,5;0,4;3,5;2;2;5;3,8;1;1;1;;;;;
"'t Zand";"Venlo                                   ";"Buurt     ";"BU09831403";"1";0,8;1,4;2,6;9,4;3,8;0,9;3,8;2;2;4,8;4,2;1;1;1;;;;;
"Genooybergen";"Venlo                                   ";"Buurt     ";"BU09831404";"1";1;0,5;2;9;4;1;4;2;2;5;4,3;1;1;1;;;;;
"Genooy";"Venlo                                   ";"Buurt     ";"BU09831405";"1";2,1;0;3,7;8,3;4,9;2,1;4,9;0,8;2;3,2;5,2;0,3;1;1;;;;;
"Wijk 15 Venlo-Oost-Zuid";"Venlo                                   ";"Wijk      ";"WK098315  ";"1";1,3;0,4;3,2;9,9;3,4;1,3;3,4;2;2;5;3,5;1;1;1;;;;;
"Vierpaardjes";"Venlo                                   ";"Buurt     ";"BU09831501";"1";1;0,4;3,3;11,9;2,7;1;2,7;2;2;5;2,8;1;1;1;;;;;
"Dr. Poelsplein e.o.";"Venlo                                   ";"Buurt     ";"BU09831502";"1";0,8;1;4,8;11,8;2,8;0,8;2,8;2;2;5;2,9;1;1;1;;;;;
"Jezuïtenbuurt";"Venlo                                   ";"Buurt     ";"BU09831503";"1";0,8;0,8;3,8;11;3,1;0,8;3,1;2;2;5;3,2;1;1;1;;;;;
"Vogelbuurt";"Venlo                                   ";"Buurt     ";"BU09831504";"1";1,2;0;2,1;10,9;3,1;1,2;3,1;2;2;5;3,2;1;1;1;;;;;
"Bloemenbuurt";"Venlo                                   ";"Buurt     ";"BU09831505";"1";1,4;0;2,4;9,2;3,6;1,4;3,6;2;2;5;3,7;1;1;1;;;;;
"Casinoflat";"Venlo                                   ";"Buurt     ";"BU09831506";"1";1,3;0;3,9;10;3,5;1,3;3,5;2;2;5;3,6;1;1;1;;;;;
"Postwegflat";"Venlo                                   ";"Buurt     ";"BU09831507";"1";1,9;0;3;7;4,1;1,9;4,1;2;2;5;4,1;1;1;1;;;;;
"Stalberg (midden)";"Venlo                                   ";"Buurt     ";"BU09831508";"1";1,4;0,2;3,7;8;3,9;1,4;3,9;2;2;5;4;1;1;1;;;;;
"Stalberg-Oost";"Venlo                                   ";"Buurt     ";"BU09831509";"1";2,1;0;1,8;6,8;4,6;2,1;4,6;2;2;4,9;4,7;1;1;1;;;;;
"Grote Hei";"Venlo                                   ";"Buurt     ";"BU09831510";"1";2,1;0;1,6;7,2;4,1;2,1;4,1;2;2;5;4,2;1;1;1;;;;;
"Keulse Barriére";"Venlo                                   ";"Buurt     ";"BU09831511";"1";2,3;0;1,5;9,2;3,9;2,3;3,5;2;2;5;3,6;1;1;1;;;;;
"Auxillatrix";"Venlo                                   ";"Buurt     ";"BU09831512";"1";3;0;0,7;6,5;4,3;3;3,9;2;2;5;3,9;1;1;1;;;;;
"Wijk 16 Het Ven";"Venlo                                   ";"Wijk      ";"WK098316  ";"1";2,2;0;1,8;6,6;4,9;2;4,9;1,1;2;3,4;5,2;0,5;1;1;;;;;
"Kern 't Ven";"Venlo                                   ";"Buurt     ";"BU09831601";"1";1,7;0;2,1;8,2;4,5;1,5;4,5;1,7;2;3,6;4,9;0,7;1;1;;;;;
"Arenborg";"Venlo                                   ";"Buurt     ";"BU09831602";"1";2,2;0;2,2;5,7;4,8;2;4,8;1,1;2;3,5;5,1;0,5;1;1;;;;;
"Herungerberg";"Venlo                                   ";"Buurt     ";"BU09831603";"1";2,7;0;1,4;4,6;5,2;2,5;5,2;0,4;2;3;5,5;0,1;1;1;;;;;
"Veegtes";"Venlo                                   ";"Buurt     ";"BU09831604";"1";1,6;0;2,2;8;4,6;1,5;4,6;1,5;2;3,5;4,9;0,6;1;1;;;;;
"Noorderpoort";"Venlo                                   ";"Buurt     ";"BU09831605";"1";;;;;;;;;;;;;;;;;;;
"Venkoelen";"Venlo                                   ";"Buurt     ";"BU09831606";"1";3,6;0;0,4;3,6;6,3;3,4;6,3;0;2;3;6,6;0;1;1;;;;;
"AZC";"Venlo                                   ";"Buurt     ";"BU09831607";"1";;;;;;;;;;;;;;;;;;;
"Wijk 21 Blerick-Midden";"Venlo                                   ";"Wijk      ";"WK098321  ";"1";0,6;1,6;5,5;10,4;2,7;1,5;2,6;2;2;5;3,2;1;1;1;;;;;
"Blerick-Centrum";"Venlo                                   ";"Buurt     ";"BU09832101";"1";0,5;1,8;6,4;10,1;2,3;1,7;2,3;2;2;5;2,9;1;1;1;;;;;
"Hazenkamp";"Venlo                                   ";"Buurt     ";"BU09832102";"1";0,7;1,4;4,3;10,7;3,1;1,3;3,1;2;2;5;3,5;1;1;1;;;;;
"Wijk 22 Blerick-Noord";"Venlo                                   ";"Wijk      ";"WK098322  ";"1";0,5;1,6;4,1;8,7;3,1;0,8;3,1;2;2;5;3,7;1;1;1;;;;;
"Smeliënkamp";"Venlo                                   ";"Buurt     ";"BU09832201";"1";0,4;1,4;5,9;9,1;2,5;1,3;2,5;2;2;5;3,1;1;1;1;;;;;
"Vastenavondkamp-Noord";"Venlo                                   ";"Buurt     ";"BU09832202";"1";0,6;1,4;3,3;8,3;3,3;0,6;3,3;2;2;5;4;1;1;1;;;;;
"Vastenavondkamp-Zuid";"Venlo                                   ";"Buurt     ";"BU09832203";"1";0,6;2,1;4,4;9,2;3;0,7;3;2;2;5;3,6;1;1;1;;;;;
"Wijk 23 Blerick-Zuid";"Venlo                                   ";"Wijk      ";"WK098323  ";"1";1,1;0,4;3,4;11,4;3,4;1,9;3,1;2;2;5;3,4;1;1;1;;;;;
"Molenbossen";"Venlo                                   ";"Buurt     ";"BU09832301";"1";0,9;0,7;4;10,8;3,1;2,2;3,1;2;2;5;3,7;1;1;1;;;;;
"Annakamp-Oost";"Venlo                                   ";"Buurt     ";"BU09832302";"1";1;0,5;3,4;11,4;3,3;1,9;3,2;2;2;5;3,5;1;1;1;;;;;
"Annakamp-West";"Venlo                                   ";"Buurt     ";"BU09832303";"1";1,3;0;3;12;3,6;1,6;3,1;2;2;5;3,1;1;1;1;;;;;
"Zonneveld";"Venlo                                   ";"Buurt     ";"BU09832304";"1";1,3;0;3;12;3,7;1,4;3;2;2;5;3;1;1;1;;;;;
"Wijk 24 Vossener";"Venlo                                   ";"Wijk      ";"WK098324  ";"1";1,4;0;3;9,9;4,2;1,4;3,6;2;2;5;3,6;1;1;1;;;;;
"Vossener-Centrum";"Venlo                                   ";"Buurt     ";"BU09832401";"1";1,3;0,1;3;10,4;4,1;1,3;3,5;2;2;5;3,5;1;1;1;;;;;
"Vossener-Noord";"Venlo                                   ";"Buurt     ";"BU09832402";"1";1,2;0,1;3;10,3;4;1,2;3,6;2;2;5;3,6;1;1;1;;;;;
"Vossener-West";"Venlo                                   ";"Buurt     ";"BU09832403";"1";1,6;0;3;9;4,3;1,6;3,7;2;2;5;3,7;1;1;1;;;;;
"Vossener-Zuid";"Venlo                                   ";"Buurt     ";"BU09832404";"1";1,6;0;3;9,9;4,2;1,6;3,5;2;2;5;3,5;1;1;1;;;;;
"Wijk 25 Klingerberg";"Venlo                                   ";"Wijk      ";"WK098325  ";"1";0,9;0,6;3;6,5;4,3;0,9;4,3;1,8;2;5;4,8;0,8;1;1;;;;;
"Klingerberg-Zuid";"Venlo                                   ";"Buurt     ";"BU09832501";"1";0,8;0,8;3;6,6;4,3;0,8;4,3;1,9;2;5;4,7;0,9;1;1;;;;;
"Klingerberg-Noord";"Venlo                                   ";"Buurt     ";"BU09832502";"1";1,2;0,1;3;6,1;4,4;1,2;4,4;1,5;2;5;5;0,5;1;1;;;;;
"Wijk 26 Hout-Blerick";"Venlo                                   ";"Wijk      ";"WK098326  ";"1";2,1;0;2,7;10,2;4,1;2,4;3,3;2;2;5;3,3;1;1;1;;;;;
"Kern Hout-Blerick";"Venlo                                   ";"Buurt     ";"BU09832601";"1";2,1;0;3;10,4;4;2,2;3;2;2;5;3;1;1;1;;;;;
"Verspreide huizen Hout-Blerick";"Venlo                                   ";"Buurt     ";"BU09832602";"1";2,8;0;1,2;8,4;4,8;3;3,9;1,7;2;5;3,9;1;1;1;;;;;
"Meuleveld";"Venlo                                   ";"Buurt     ";"BU09832603";"1";1,9;0;3;10,4;4,1;2,7;3,5;2;2;5;3,5;1;1;1;;;;;
"Wijk 27 Boekend";"Venlo                                   ";"Wijk      ";"WK098327  ";"1";2,3;0;1,3;3,6;5,4;2,3;5;0,5;2;5;5;0,3;1;1;;;;;
"Kern Boekend";"Venlo                                   ";"Buurt     ";"BU09832701";"1";2,3;0;1,3;3,3;5,4;2,3;5,1;0,2;2;5;5,1;0,2;1;1;;;;;
"Verspreide huizen Boekend";"Venlo                                   ";"Buurt     ";"BU09832702";"1";2,5;0;1,3;4,6;5,4;2,5;4,7;1;2;5;4,8;0,7;1;1;;;;;
"Wijk 28 Trade-Port";"Venlo                                   ";"Wijk      ";"WK098328  ";"1";1,8;0,2;3,7;7,1;4;2,4;3,7;1,7;2,1;5,1;4,6;0,8;1;1,1;;;;;
"Horsterweg";"Venlo                                   ";"Buurt     ";"BU09832801";"1";1,4;0,1;4,2;8,1;3,1;2,1;3,1;2;2;5;3,7;1;1;1;;;;;
"Kazerneterrein";"Venlo                                   ";"Buurt     ";"BU09832802";"1";1;0,8;6;9;2,5;2,1;2,5;2;2;5;3,2;1;1;1;;;;;
"Ubroek";"Venlo                                   ";"Buurt     ";"BU09832803";"1";1,4;0;4;8;3,1;2,6;3,1;2;2;5;3,7;1;1;1;;;;;
"Groot Boller";"Venlo                                   ";"Buurt     ";"BU09832804";"1";1,6;0;3;7,2;3,9;1,6;3,9;2;2;5;4,5;1;1;1;;;;;
"Havengebied";"Venlo                                   ";"Buurt     ";"BU09832805";"1";;;;;;;;;;;;;;;;;;;
"Ecopark";"Venlo                                   ";"Buurt     ";"BU09832806";"1";;;;;;;;;;;;;;;;;;;
"Heierhoeve";"Venlo                                   ";"Buurt     ";"BU09832807";"1";;;;;;;;;;;;;;;;;;;
"Fresh Park";"Venlo                                   ";"Buurt     ";"BU09832808";"1";;;;;;;;;;;;;;;;;;;
"Trade-Port-Oost";"Venlo                                   ";"Buurt     ";"BU09832809";"1";;;;;;;;;;;;;;;;;;;
"Trade-Port-Noord";"Venlo                                   ";"Buurt     ";"BU09832810";"1";;;;;;;;;;;;;;;;;;;
"Floriade Park";"Venlo                                   ";"Buurt     ";"BU09832811";"1";;;;;;;;;;;;;;;;;;;
"Zaarderheiken";"Venlo                                   ";"Buurt     ";"BU09832812";"1";4;0;0,1;1,3;8,9;4;7,1;0;2,6;5,7;9,5;0;0,8;1,7;;;;;
"Wijk 31 Tegelen-Centrum";"Venlo                                   ";"Wijk      ";"WK098331  ";"1";0,7;2;4,9;10,4;3;0,7;2,1;2;2;5,1;2,1;1;1;1,1;;;;;
"Bosserhof";"Venlo                                   ";"Buurt     ";"BU09833101";"1";0,9;1,1;5,7;11,6;2,6;0,9;1,7;2;2;5;1,7;1;1;1;;;;;
"Tegelen-Centrum";"Venlo                                   ";"Buurt     ";"BU09833102";"1";0,4;3,3;4,2;9,6;3,3;0,5;2,4;2;2;5,2;2,4;1;1;1,2;;;;;
"Krekelsberg";"Venlo                                   ";"Buurt     ";"BU09833103";"1";0,4;2,3;4;8,6;3,9;0,5;3;2;2;6;3;1;1;2;;;;;
"Maasveld I";"Venlo                                   ";"Buurt     ";"BU09833104";"1";0,9;1,6;4;8,2;3,6;0,9;2,7;2;2;5;2,7;1;1;1;;;;;
"Maasveld II";"Venlo                                   ";"Buurt     ";"BU09833105";"1";0,9;1,4;5,1;10,9;2,9;0,9;2;2;2;5;2;1;1;1;;;;;
"Wijk 32 Op de Hei";"Venlo                                   ";"Wijk      ";"WK098332  ";"1";2;0;4;7,4;4,4;2;3,5;1,9;2;5;3,5;1;1;1;;;;;
"Lage Heide";"Venlo                                   ";"Buurt     ";"BU09833201";"1";1,3;0,1;4;8,4;4,1;1,3;3,2;2;2;5,1;3,2;1;1;1,1;;;;;
"Bedr.terr. Windhond";"Venlo                                   ";"Buurt     ";"BU09833202";"1";1;0,5;4;8,8;4,1;1;3,1;2;2;5,3;3,1;1;1;1,3;;;;;
"Kaldenkerkerweg-West";"Venlo                                   ";"Buurt     ";"BU09833203";"1";1,2;0;4;8,8;3,3;1,2;2,3;2;2;5;2,3;1;1;1;;;;;
"Op de Heide";"Venlo                                   ";"Buurt     ";"BU09833204";"1";2,2;0;3,9;6,9;4,6;2,3;3,6;1,9;2;5;3,6;1;1;1;;;;;
"Kaldenkerkerweg-Oost";"Venlo                                   ";"Buurt     ";"BU09833205";"1";2,3;0;3,8;6,7;4,5;2,3;3,5;1,9;2;5;3,5;1;1;1;;;;;
"Ulingshei";"Venlo                                   ";"Buurt     ";"BU09833206";"1";2,9;0;1,9;7,2;4;2,9;3,1;1,7;2;5;3,1;1;1;1;;;;;
"Snelle Sprong";"Venlo                                   ";"Buurt     ";"BU09833207";"1";;;;;;;;;;;;;;;;;;;
"Wijk 35 Steyl";"Venlo                                   ";"Wijk      ";"WK098335  ";"1";0,7;1,3;4,5;8;4,4;0,7;3,4;1,9;2;6;3,4;1;1;2;;;;;
"Kloosterdorp";"Venlo                                   ";"Buurt     ";"BU09833501";"1";0,9;0,9;4,8;7,8;4,5;0,9;3,5;1,9;2;6;3,5;1;1;2;;;;;
"Nieuw-Steyl";"Venlo                                   ";"Buurt     ";"BU09833502";"1";0,4;1,8;4,1;8,1;4,2;0,4;3,3;2;2;6;3,3;1;1;2;;;;;
"Wijk 41 Velden";"Venlo                                   ";"Wijk      ";"WK098341  ";"1";0,8;1,2;2,9;4,5;7,6;1;7,6;0;2;3;7,9;0;1;1;;;;;
"Velden-West";"Venlo                                   ";"Buurt     ";"BU09834101";"1";0,4;1,8;3;4,6;7,4;0,5;7,4;0;2;3;7,7;0;1;1;;;;;
"Velden-Oost";"Venlo                                   ";"Buurt     ";"BU09834102";"1";0,6;1,3;3;4,6;7,5;1;7,5;0;2;3;7,9;0;1;1;;;;;
"Hasselderheide";"Venlo                                   ";"Buurt     ";"BU09834103";"1";1,4;0;2,5;3,3;8,9;1,4;8,9;0;2;3;9,3;0;1;1;;;;;
"Schandelo";"Venlo                                   ";"Buurt     ";"BU09834104";"1";2,3;0;1,9;3,7;8,8;2,4;8,8;0;1,9;3;9,1;0;0,9;1;;;;;
"Hasselt en Het Vorst";"Venlo                                   ";"Buurt     ";"BU09834105";"1";1,2;0,6;2,9;4,6;7,6;1,3;7,6;0;1,9;3;7,9;0;0,9;1;;;;;
"De Krosselt";"Venlo                                   ";"Buurt     ";"BU09834106";"1";1,8;0;4;6,3;5,6;2,2;5,6;0;2;3,1;5,9;0;1;1;;;;;
"Verspreide huizen Velden";"Venlo                                   ";"Buurt     ";"BU09834107";"1";1,9;0,2;1,9;4,3;7,8;2,2;7,8;0;1,9;3;8,2;0;0,9;1;;;;;
"Wijk 43 Lomm";"Venlo                                   ";"Wijk      ";"WK098343  ";"1";2,6;0;1;4,4;11,3;3,8;11,1;0;0;3;11,7;0;0;1;;;;;
"Kern Lomm";"Venlo                                   ";"Buurt     ";"BU09834301";"1";2,5;0;1;4,6;11,2;3,7;11;0;0;3;11,5;0;0;1;;;;;
"Spikweien";"Venlo                                   ";"Buurt     ";"BU09834302";"1";;;;;;;;;;;;;;;;;;;
"Verspreide huizen Lomm";"Venlo                                   ";"Buurt     ";"BU09834303";"1";3,2;0;0,5;2,9;12,7;5,2;12,1;0;0;3;13;0;0;1;;;;;
"Wijk 44 Arcen";"Venlo                                   ";"Wijk      ";"WK098344  ";"1";1,2;0,7;0,9;1,8;15,4;7,9;12,2;0;0;3,8;15,7;0;0;1,8;;;;;
"Kern Arcen";"Venlo                                   ";"Buurt     ";"BU09834401";"1";0,5;1;1;2;14,9;7,4;11,9;0;0;4;15,2;0;0;2;;;;;
"Lingsfort";"Venlo                                   ";"Buurt     ";"BU09834402";"1";2,3;0;0,7;1,7;15,4;7,9;13;0;0;3;15,7;0;0;1;;;;;
"Brandemolen en Veld";"Venlo                                   ";"Buurt     ";"BU09834403";"1";1,3;0,1;1;2;15,7;8,1;11,7;0;0;4;16;0;0;2;;;;;
"Verspreide huizen Arcen";"Venlo                                   ";"Buurt     ";"BU09834404";"1";3,3;0;0,4;1,2;17,2;9,6;13,6;0;0;3,2;17,5;0;0;1,2;;;;;
"Wijk 51 Belfeld";"Venlo                                   ";"Wijk      ";"WK098351  ";"1";0,7;0,9;1,2;5,2;7,4;3,5;6,4;0;2;5;6,4;0;1;2;;;;;
"Kern Belfeld";"Venlo                                   ";"Buurt     ";"BU09835101";"1";0,6;1;1,1;5,3;7,4;3,6;6,4;0;2;5;6,4;0;1;2;;;;;
"Gebied Patersweg";"Venlo                                   ";"Buurt     ";"BU09835102";"1";1,7;0;1,5;4;8,1;3,1;7,1;0;2;5;7,1;0;1;2;;;;;
"Bolenberg";"Venlo                                   ";"Buurt     ";"BU09835103";"1";0,9;1;1;5,2;7,7;3,8;6,7;0;2;5;6,7;0;1;2;;;;;
"Aan de Stuw";"Venlo                                   ";"Buurt     ";"BU09835104";"1";1,7;0;3,2;6,2;6;2,1;5;0,5;2;5,5;5;0,5;1;2;;;;;
"Witveld";"Venlo                                   ";"Buurt     ";"BU09835105";"1";;;;;;;;;;;;;;;;;;;
"Geloérveld / Pannenberg";"Venlo                                   ";"Buurt     ";"BU09835106";"1";;;;;;;;;;;;;;;;;;;
"Geloö";"Venlo                                   ";"Buurt     ";"BU09835107";"1";1,7;0;3,9;6;5,7;2,1;4,7;0,9;2;6;4,7;0,9;1;2;;;;;
"Maalbeek";"Venlo                                   ";"Buurt     ";"BU09835108";"1";2,2;0;0,9;2,3;8,6;4,4;7,7;0;2;5;7,7;0;1;2;;;;;
"Venray";"Venray                                  ";"Gemeente  ";"GM0984    ";"1";1,7;0,4;2,5;3,5;20,2;2;3,8;0,8;1,1;3,4;3,9;0,8;1;1,4;;;;;
"Heide";"Venray                                  ";"Wijk      ";"WK098401  ";"1";2,3;0;1,3;3,7;22,9;2,4;3,5;1;1;3;3,5;1;1;1;;;;;
"Heide";"Venray                                  ";"Buurt     ";"BU09840101";"1";2,3;0;1,3;3,7;22,9;2,4;3,5;1;1;3;3,5;1;1;1;;;;;
"Ysselsteyn";"Venray                                  ";"Wijk      ";"WK098402  ";"1";1,2;0,7;0,9;1,1;19,9;6,9;7,5;0;1,8;4,8;7,5;0;1;1,7;;;;;
"Ysselsteyn";"Venray                                  ";"Buurt     ";"BU09840201";"1";1,2;0,7;0,9;1,1;19,9;6,9;7,5;0;1,8;4,8;7,5;0;1;1,7;;;;;
"Merselo";"Venray                                  ";"Wijk      ";"WK098403  ";"1";4;0;0;2,7;19,9;2,6;2,6;1;1;4,4;2,6;1;1;1,7;;;;;
"Merselo";"Venray                                  ";"Buurt     ";"BU09840301";"1";4;0;0;2,7;19,9;2,6;2,6;1;1;4,4;2,6;1;1;1,7;;;;;
"Vredepeel";"Venray                                  ";"Wijk      ";"WK098404  ";"1";6,9;0;0;0;18,2;7,2;8,1;0;0,9;5,4;8,1;0;0,9;2,3;;;;;
"Vredepeel";"Venray                                  ";"Buurt     ";"BU09840401";"1";6,9;0;0;0;18,2;7,2;8,1;0;0,9;5,4;8,1;0;0,9;2,3;;;;;
"Smakt";"Venray                                  ";"Wijk      ";"WK098405  ";"1";3,8;0;0,1;2,2;14,7;3,8;6,6;0;1;3,1;6,6;0;1;2;;;;;
"Smakt";"Venray                                  ";"Buurt     ";"BU09840501";"1";3,8;0;0,1;2,2;14,7;3,8;6,6;0;1;3,1;6,6;0;1;2;;;;;
"Oostrum";"Venray                                  ";"Wijk      ";"WK098406  ";"1";2,3;0;1,2;4;20,3;2,3;5,2;0,3;1;3,2;5,2;0,3;1;1,2;;;;;
"Oostrum";"Venray                                  ";"Buurt     ";"BU09840601";"1";2,3;0;1,2;4;20,3;2,3;5,2;0,3;1;3,2;5,2;0,3;1;1,2;;;;;
"Oirlo";"Venray                                  ";"Wijk      ";"WK098407  ";"1";3,9;0;0;2,2;21,2;4;7;0;2;2,3;7,1;0;1;1;;;;;
"Oirlo";"Venray                                  ";"Buurt     ";"BU09840701";"1";3,9;0;0;2,2;21,2;4;7;0;2;2,3;7,1;0;1;1;;;;;
"Castenray";"Venray                                  ";"Wijk      ";"WK098408  ";"1";4,9;0;0;0,3;19;5,3;5,5;0;2;4;8,1;0;1;1,8;;;;;
"Castenray";"Venray                                  ";"Buurt     ";"BU09840801";"1";4,9;0;0;0,3;19;5,3;5,5;0;2;4;8,1;0;1;1,8;;;;;
"Veulen";"Venray                                  ";"Wijk      ";"WK098409  ";"1";4,5;0;0;1,1;23,3;5,5;6,7;0;1,8;4,4;6,7;0;1;1;;;;;
"Veulen";"Venray                                  ";"Buurt     ";"BU09840901";"1";4,5;0;0;1,1;23,3;5,5;6,7;0;1,8;4,4;6,7;0;1;1;;;;;
"Leunen";"Venray                                  ";"Wijk      ";"WK098410  ";"1";1,2;0,4;2,1;3,8;21,9;2,2;3,5;0,9;2;3;3,5;0,9;1;1;;;;;
"Leunen";"Venray                                  ";"Buurt     ";"BU09841001";"1";1,2;0,4;2,1;3,8;21,9;2,2;3,5;0,9;2;3;3,5;0,9;1;1;;;;;
"Centrum";"Venray                                  ";"Wijk      ";"WK098411  ";"1";1,1;0,4;4;4;20,1;1,1;1,6;1;1;3,4;1,6;1;1;1,4;;;;;
"Centrum";"Venray                                  ";"Buurt     ";"BU09841101";"1";1,1;0,4;4;4;20,1;1,1;1,6;1;1;3,4;1,6;1;1;1,4;;;;;
"Oost";"Venray                                  ";"Wijk      ";"WK098412  ";"1";1;0,6;4;4;19,8;1,1;2,2;1;1;3,6;2,2;1;1;1,6;;;;;
"Burggraaf";"Venray                                  ";"Buurt     ";"BU09841201";"1";1;0,7;4;4;19,1;1;2,2;1;1;4;2,2;1;1;2;;;;;
"Oranjebuurt";"Venray                                  ";"Buurt     ";"BU09841202";"1";1,1;0,2;4;4;19,8;1,2;2,3;1;1;3,9;2,3;1;1;1,9;;;;;
"Bomenbuurt";"Venray                                  ";"Buurt     ";"BU09841203";"1";0,8;1,1;4;4;20,2;1,1;2,2;1;1;3,1;2,2;1;1;1,1;;;;;
"West";"Venray                                  ";"Wijk      ";"WK098413  ";"1";1;0,7;3,9;4;20,3;0,9;1,2;1;1;3,2;1,2;1;1;1,2;;;;;
"Noordwest";"Venray                                  ";"Buurt     ";"BU09841301";"1";1,5;0;4;4;20;1,1;1,1;1;1;3,4;1,1;1;1;1,4;;;;;
"West midden";"Venray                                  ";"Buurt     ";"BU09841302";"1";0,7;0,9;3,9;4;20,6;0,6;1,1;1;1;3;1,1;1;1;1;;;;;
"West zuid";"Venray                                  ";"Buurt     ";"BU09841303";"1";0,6;1,7;3,8;4;20,6;0,7;1,7;1;1;3;1,7;1;1;1;;;;;
"Vlakwater";"Venray                                  ";"Wijk      ";"WK098414  ";"1";2;0;2,5;4;20,7;0,8;0,8;1;1;3;0,8;1;1;1;;;;;
"Vlakwater";"Venray                                  ";"Buurt     ";"BU09841401";"1";2;0;2,5;4;20,7;0,8;0,8;1;1;3;0,8;1;1;1;;;;;
"Veltum";"Venray                                  ";"Wijk      ";"WK098415  ";"1";0,9;0,6;2,3;4;21,7;0,9;1,8;1;1;3;1,8;1;1;1;;;;;
"Veltum 1";"Venray                                  ";"Buurt     ";"BU09841501";"1";0,6;1;2,6;4;21,3;0,6;1,6;1;1;3;1,6;1;1;1;;;;;
"Veltum 2";"Venray                                  ";"Buurt     ";"BU09841502";"1";1,4;0,2;2;4;22,1;1,3;2,2;1;1;3;2,2;1;1;1;;;;;
"Brukske";"Venray                                  ";"Wijk      ";"WK098416  ";"1";1,3;0;3,8;4;20,6;1,5;3,3;1;1;3;3,3;1;1;1;;;;;
"Brukske 1";"Venray                                  ";"Buurt     ";"BU09841601";"1";1,3;0;3,9;4;20,5;1,7;3;1;1;3;3;1;1;1;;;;;
"Brukske 2";"Venray                                  ";"Buurt     ";"BU09841602";"1";1,3;0;3,6;4;20,8;1,3;3,6;1;1;3;3,6;1;1;1;;;;;
